group,subgroup,sku,date,quantity
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),415,2023-02-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),415,2023-09-01,3
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),415,2024-02-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),415,2024-03-01,3
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),415,2024-05-01,2
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),415,2024-12-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),415,2025-03-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),416,2023-04-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),416,2023-05-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),416,2023-07-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),416,2023-09-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),416,2024-04-01,2
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),416,2025-04-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),416,2025-05-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2023-02-01,3
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2023-05-01,2
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2023-09-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2023-10-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2023-12-01,2
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-01-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-02-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-03-01,2
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-04-01,3
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-05-01,4
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-06-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-07-01,1
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-08-01,3
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-09-01,4
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-10-01,9
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),420,2024-11-01,10
