Unnamed:_0,Model_Eq.,Sell_Date,Count
0,10F GT_L2,2025-07-01,1
1,120,2025-06-01,2
2,120,2025-07-01,1
3,120,2025-08-01,1
4,120,2025-10-01,2
5,120GC,2025-08-01,1
6,14,2025-07-01,1
7,140,2025-11-01,3
8,140GC,2025-06-01,1
9,226,2025-10-01,1
10,226D 3,2025-08-01,1
11,226D 3,2025-10-01,2
12,232D 3,2025-10-01,2
13,236D 3,2025-07-01,1
14,239D 3,2025-06-01,1
15,246D 3,2025-06-01,1
16,246D 3,2025-07-01,1
17,250,2025-06-01,2
18,250,2025-07-01,3
19,250,2025-09-01,1
20,250,2025-10-01,1
21,255,2025-06-01,18
22,255,2025-07-01,21
23,255,2025-08-01,5
24,255,2025-09-01,6
25,255,2025-12-01,2
26,259D 3,2025-07-01,1
27,260,2025-06-01,7
28,260,2025-07-01,3
29,260,2025-08-01,1
