Sell_Date,Model_Eq.,Count,Model
2023-01-01,120AWD,0,longtail
2023-02-01,120AWD,0,longtail
2023-03-01,120AWD,0,longtail
2023-04-01,120AWD,0,longtail
2023-05-01,120AWD,0,longtail
2023-06-01,120AWD,0,longtail
2023-07-01,120AWD,1,longtail
2023-08-01,120AWD,1,longtail
2023-09-01,120AWD,1,longtail
2023-10-01,120AWD,1,longtail
2023-11-01,120AWD,0,longtail
2023-12-01,120AWD,1,longtail
2024-01-01,120AWD,0,longtail
2024-02-01,120AWD,1,longtail
2024-03-01,120AWD,1,longtail
2024-04-01,120AWD,0,longtail
2024-05-01,120AWD,0,longtail
2024-06-01,120AWD,1,longtail
2024-07-01,120AWD,0,longtail
2024-08-01,120AWD,0,longtail
2024-09-01,120AWD,1,longtail
2024-10-01,120AWD,0,longtail
2024-11-01,120AWD,0,longtail
2024-12-01,120AWD,0,longtail
2025-01-01,120AWD,0,longtail
2025-02-01,120AWD,0,longtail
2025-03-01,120AWD,0,longtail
2025-04-01,120AWD,1,longtail
2025-05-01,120AWD,1,longtail
2025-06-01,120AWD,0,longtail
