Model_Eq.,Sell_Date,Pred,Served,Gap_Month,Remaining,Stock,CumDemand,Backlog,MAPE_month
10F,2026-02-01,0,0.0,0.0,2.0,2.0,0,0.0,nan
10F,2026-03-01,0,0.0,0.0,2.0,2.0,0,0.0,nan
10F,2026-04-01,0,0.0,0.0,2.0,2.0,0,0.0,nan
10F,2026-05-01,0,0.0,0.0,2.0,2.0,0,0.0,nan
10F,2026-06-01,0,0.0,0.0,2.0,2.0,0,0.0,nan
10F,2026-07-01,0,0.0,0.0,2.0,2.0,0,0.0,nan
120,2026-02-01,0,0.0,0.0,1.0,1.0,0,0.0,nan
120,2026-03-01,0,0.0,0.0,1.0,1.0,0,0.0,nan
120,2026-04-01,0,0.0,0.0,1.0,1.0,0,0.0,nan
120,2026-05-01,0,0.0,0.0,1.0,1.0,0,0.0,nan
120,2026-06-01,0,0.0,0.0,1.0,1.0,0,0.0,nan
120,2026-07-01,0,0.0,0.0,1.0,1.0,0,0.0,nan
120AWD,2026-02-01,1,0.0,1.0,0.0,0.0,1,1.0,nan
120AWD,2026-03-01,1,0.0,1.0,0.0,0.0,2,2.0,nan
120AWD,2026-04-01,1,0.0,1.0,0.0,0.0,3,3.0,nan
120AWD,2026-05-01,1,0.0,1.0,0.0,0.0,4,4.0,nan
120AWD,2026-06-01,1,0.0,1.0,0.0,0.0,5,5.0,nan
120AWD,2026-07-01,1,0.0,1.0,0.0,0.0,6,6.0,nan
120GCAWD,2026-02-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
120GCAWD,2026-03-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
120GCAWD,2026-04-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
120GCAWD,2026-05-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
120GCAWD,2026-06-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
120GCAWD,2026-07-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
14,2026-02-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
14,2026-03-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
14,2026-04-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
14,2026-05-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
14,2026-06-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
14,2026-07-01,0,0.0,0.0,0.0,0.0,0,0.0,nan
