Sell_Date,Model_Eq.,Count,Pred,Model
2025-08-01,255,9,12,xgboost
2025-09-01,255,1,11,xgboost
2025-10-01,255,8,7,xgboost
2025-11-01,255,1,6,xgboost
2025-12-01,255,15,8,xgboost
2026-01-01,255,11,19,xgboost
2025-08-01,265,13,11,xgboost
2025-09-01,265,15,12,xgboost
2025-10-01,265,19,13,xgboost
2025-11-01,265,3,10,xgboost
2025-12-01,265,20,14,xgboost
2026-01-01,265,22,7,xgboost
2025-08-01,303.5,2,5,xgboost
2025-09-01,303.5,6,5,xgboost
2025-10-01,303.5,7,4,xgboost
2025-11-01,303.5,0,4,xgboost
2025-12-01,303.5,2,4,xgboost
2026-01-01,303.5,0,4,xgboost
2025-08-01,304,5,3,xgboost
2025-09-01,304,5,3,xgboost
2025-10-01,304,7,3,xgboost
2025-11-01,304,3,5,xgboost
2025-12-01,304,9,3,xgboost
2026-01-01,304,9,5,xgboost
2025-08-01,305,6,6,xgboost
2025-09-01,305,11,5,xgboost
2025-10-01,305,9,6,xgboost
2025-11-01,305,10,5,xgboost
2025-12-01,305,10,13,xgboost
2026-01-01,305,12,5,xgboost
