Model_Equipment,Model,MAE,Percentage_Error,MAPE,WMAPE,Accuracy,RMSE,Confidence,Total_Actual,Total_Predicted,N_Observations
120AWD,longtail,0.8333333333333334,-75.0,125.0,125.0,0.25,1.224744871391589,low,4,1,6
120GCAWD,longtail,0.16666666666666666,-100.0,100.0,100.0,0.0,0.408248290463863,low,1,0,6
14,longtail,0.16666666666666666,-100.0,100.0,100.0,0.0,0.408248290463863,low,1,0,6
140,longtail,0.16666666666666666,0.0,0.0,0.0,0.0,0.408248290463863,high,0,1,6
140AWD,longtail,0.8333333333333334,100.0,166.66666666666669,166.66666666666669,2.0,1.0801234497346435,low,3,6,6
140GCAWD,longtail,0.16666666666666666,-100.0,100.0,100.0,0.0,0.408248290463863,low,1,0,6
150AWD,longtail,0.0,0.0,0.0,0.0,0.0,0.0,high,0,0,6
226D3,longtail,1.3333333333333333,25.0,100.0,100.0,1.25,1.632993161855452,low,8,10,6
226D3AG,longtail,1.1666666666666667,250.0,350.0,350.0,3.5,1.35400640077266,low,2,7,6
232D3,longtail,0.8333333333333334,75.0,125.0,125.0,1.75,1.0801234497346435,low,4,7,6
232D3AG,longtail,0.8333333333333334,33.33333333333333,166.66666666666669,166.66666666666669,1.3333333333333333,0.9128709291752769,low,3,4,6
236D3,longtail,1.8333333333333333,-11.11111111111111,85.71428571428571,122.22222222222223,0.8888888888888888,2.6770630673681683,low,9,8,6
239D3,longtail,0.6666666666666666,0.0,44.44444444444444,44.44444444444444,1.0,0.816496580927726,medium,9,9,6
242D3,longtail,1.1666666666666667,0.0,0.0,0.0,0.0,1.4719601443879744,high,0,7,6
242D3AG,longtail,0.5,0.0,0.0,0.0,0.0,0.7071067811865476,high,0,3,6
246D3,longtail,1.0,600.0,600.0,600.0,7.0,1.1547005383792515,low,1,7,6
249D3,longtail,1.0,-36.36363636363637,54.54545454545454,54.54545454545454,0.6363636363636364,1.2909944487358056,medium,11,7,6
250,longtail,2.5,-71.42857142857143,84.44444444444444,71.42857142857143,0.2857142857142857,3.719318934070233,low,21,6,6
250AG,longtail,0.5,-100.0,100.0,100.0,0.0,1.224744871391589,low,3,0,6
255,xgboost,5.666666666666667,40.0,41.30681818181819,75.55555555555556,1.4,6.429100507328637,medium,45,63,6
255DCA2,longtail,15.666666666666666,-88.67924528301887,85.10334381302123,88.67924528301887,0.11320754716981132,20.08316044185609,low,106,12,6
259D3,longtail,10.333333333333334,0.0,0.0,0.0,0.0,10.954451150103322,high,0,62,6
260,longtail,3.0,-75.0,90.0,75.0,0.25,4.163331998932265,low,24,6,6
262D3,longtail,8.833333333333334,662.5,662.5,662.5,7.625,9.354143466934854,low,8,61,6
262D3WH,longtail,0.0,0.0,0.0,0.0,0.0,0.0,high,0,0,6
265,xgboost,6.5,-27.173913043478258,33.02907618697092,42.391304347826086,0.7282608695652174,7.735200923914862,medium,92,67,6
270,longtail,0.5,-100.0,100.0,100.0,0.0,0.9128709291752769,low,3,0,6
270XE,longtail,0.3333333333333333,-100.0,100.0,100.0,0.0,0.5773502691896257,low,2,0,6
272D3,longtail,1.3333333333333333,0.0,0.0,0.0,0.0,1.5275252316519468,high,0,8,6
272D3WH,longtail,0.0,0.0,0.0,0.0,0.0,0.0,high,0,0,6
