Equipment,Priority,Stock,Recommended_Order_(Gap),Min_Lead_Time,Max_Lead_Time,Lead_Time,Order_by_Date
335,High,0.0,3.0,26,43,35,2026-04-27
313,High,0.0,3.0,31,50,41,2026-04-21
315,High,0.0,4.0,33,54,43,2026-04-19
352,High,0.0,3.0,35,54,45,2026-04-17
226D,High,0.0,3.0,37,57,47,2026-04-15
232D,High,0.0,3.0,37,57,47,2026-04-15
305,High,0.0,4.0,39,56,47,2026-04-15
906,High,0.0,3.0,37,57,47,2026-04-15
D4,High,0.0,3.0,38,56,47,2026-04-15
325,High,0.0,3.0,38,58,48,2026-04-14
249D,High,0.0,3.0,40,57,49,2026-04-13
M320,High,0.0,3.0,38,59,49,2026-04-13
250,High,0.0,5.0,42,60,51,2026-04-11
304,High,0.0,6.0,45,64,55,2026-04-07
306,High,0.0,5.0,46,65,55,2026-04-07
D3,High,0.0,3.0,48,67,57,2026-04-05
938,High,0.0,4.0,50,69,59,2026-04-03
270,High,0.0,5.0,51,70,60,2026-04-02
336,High,0.0,3.0,51,72,61,2026-04-01
335,High,0.0,5.0,26,43,35,2026-03-27
982,High,0.0,3.0,56,77,67,2026-03-26
980,High,0.0,3.0,57,78,68,2026-03-25
236D,High,0.0,3.0,59,80,70,2026-03-23
239D,High,0.0,3.0,59,80,70,2026-03-23
308,High,0.0,4.0,60,81,70,2026-03-23
309,High,0.0,3.0,63,84,73,2026-03-20
903,High,0.0,4.0,63,84,73,2026-03-20
926,High,0.0,3.0,63,84,73,2026-03-20
930,High,0.0,5.0,63,84,73,2026-03-20
315,High,0.0,4.0,33,54,43,2026-03-19
