Group,SubGroup,Model,N_SKUs_Total,N_SKUs_With_Metrics,Coverage_Rate,Volume_Coverage,Total_Actual,Total_Predicted,MAE,Percentage_Error,MAPE,WMAPE,Accuracy,RMSE,Confidence,Metric_Confidence,N_Observations,Warning
BCP,BL (BACKHOE/INDUSTRIAL LOADERS),xgboost,9,9,100.0,100.0,36,48.0,3.0,33.33333333333333,30.87445887445887,50.0,1.3333333333333333,3.7859388972001824,medium,HIGH,6,<NA>
BCP,CTL (COMPACT TRACK LOADERS),xgboost,17,16,94.11764705882352,100.0,342,291.0,22.166666666666668,-14.912280701754385,60.67063492063491,38.88888888888889,0.8508771929824561,27.383084803092096,low,HIGH,6,"1 of 17 SKUs missing metrics (94.1% SKU coverage, 100.0% volume coverage)"
BCP,CWL (COMPACT WHEEL LOADERS),xgboost,8,8,100.0,100.0,78,68.0,9.333333333333334,-12.82051282051282,61.42563152749909,71.7948717948718,0.8717948717948718,11.575836902790225,low,HIGH,6,<NA>
BCP,HEXMC (MICRO EXCAVATORS (300-302)),xgboost,7,7,100.0,100.0,6,14.0,1.3333333333333333,133.33333333333331,133.33333333333331,133.33333333333331,2.3333333333333335,1.9148542155126762,low,HIGH,6,<NA>
BCP,HEXMI (MINI EXCAVATORS (303-308)),xgboost,13,13,100.0,100.0,247,195.0,11.666666666666666,-21.052631578947366,27.968229781677707,28.34008097165992,0.7894736842105263,13.291601358251256,high,HIGH,6,<NA>
BCP,SSL (SKID STEER LOADERS),xgboost,19,18,94.73684210526315,100.0,88,138.0,8.333333333333334,56.81818181818182,87.5548245614035,56.81818181818182,1.5681818181818181,10.04987562112089,low,HIGH,6,"1 of 19 SKUs missing metrics (94.7% SKU coverage, 100.0% volume coverage)"
BCP,TH (TELEHANDLERS),xgboost,8,7,87.5,100.0,1,1.0,0.3333333333333333,0.0,200.0,200.0,1.0,0.5773502691896257,low,HIGH,6,"1 of 8 SKUs missing metrics (87.5% SKU coverage, 100.0% volume coverage)"
BCP,TT (BCP TRACK TYPE),xgboost,6,6,100.0,100.0,31,20.0,2.5,-35.483870967741936,44.58333333333333,48.38709677419355,0.6451612903225806,3.13581462037113,medium,HIGH,6,<NA>
BCP,WL (BCP WHEEL LOADERS),xgboost,15,15,100.0,100.0,119,123.0,5.666666666666667,3.361344537815126,32.40402014032846,28.57142857142857,1.0336134453781514,7.047458170621991,medium,HIGH,6,<NA>
EARTHMOVING,MG (MOTORGRADERS),xgboost,7,7,100.0,100.0,10,8.0,1.3333333333333333,-20.0,80.0,80.0,0.8,1.632993161855452,low,HIGH,6,<NA>
EARTHMOVING,MWL (MEDIUM WHEEL LOADERS),xgboost,18,17,94.44444444444444,100.0,51,41.0,4.0,-19.607843137254903,35.59595959595959,47.05882352941176,0.803921568627451,4.396968652757639,medium,HIGH,6,"1 of 18 SKUs missing metrics (94.4% SKU coverage, 100.0% volume coverage)"
EARTHMOVING,TTL (TRACK TYPE LOADERS),xgboost,2,2,100.0,100.0,1,0.0,0.16666666666666666,-100.0,100.0,100.0,0.0,0.408248290463863,low,HIGH,6,<NA>
EARTHMOVING,"TTTMD (MEDIUM TTT(D5R,D6,D7,D8))",xgboost,15,15,100.0,100.0,22,25.0,2.1666666666666665,13.636363636363635,41.111111111111114,59.09090909090909,1.1363636363636365,2.41522945769824,medium,HIGH,6,<NA>
EXCAVATION,HEXLG (LARGE EXCAVATORS (336-5090)),xgboost,16,15,93.75,100.0,23,29.0,2.3333333333333335,26.08695652173913,27.619047619047617,60.86956521739131,1.2608695652173914,2.581988897471611,high,HIGH,6,"1 of 16 SKUs missing metrics (93.8% SKU coverage, 100.0% volume coverage)"
EXCAVATION,HEXMD (MEDIUM EXCAVATORS (320-335)),xgboost,13,13,100.0,100.0,61,66.0,4.166666666666667,8.19672131147541,41.07692307692307,40.98360655737705,1.0819672131147542,5.115336417740935,medium,HIGH,6,<NA>
EXCAVATION,HEXSM (SMALL EXCAVATORS (311-319)),xgboost,7,7,100.0,100.0,51,55.0,4.0,7.8431372549019605,42.05128205128205,47.05882352941176,1.0784313725490196,4.281744192888376,medium,HIGH,6,<NA>
EXCAVATION,HEXWH (WHEELED EXCAVATORS),xgboost,12,12,100.0,100.0,6,11.0,1.8333333333333333,83.33333333333334,183.33333333333331,183.33333333333331,1.8333333333333333,2.1213203435596424,low,HIGH,6,<NA>
GLOBAL PAVING,ACOM (ASPHALT COMPACTORS),xgboost,5,5,100.0,100.0,2,7.0,0.8333333333333334,250.0,250.0,250.0,3.5,1.0801234497346435,low,HIGH,6,<NA>
GLOBAL PAVING,CPLN (COLD PLANER),xgboost,3,3,100.0,100.0,3,2.0,0.5,-33.33333333333333,100.0,100.0,0.6666666666666666,0.7071067811865476,low,HIGH,6,<NA>
GLOBAL PAVING,LAP (LARGE ASPHALT PAVERS),xgboost,8,8,100.0,100.0,10,10.0,1.3333333333333333,0.0,80.0,80.0,1.0,1.632993161855452,low,HIGH,6,<NA>
GLOBAL PAVING,PCOM (PNEUMATIC COMPACTORS),xgboost,1,1,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high,VERY_LOW,6,<NA>
GLOBAL PAVING,RM (RECLAIMER MIXER),xgboost,1,1,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,high,VERY_LOW,6,<NA>
GLOBAL PAVING,SCOM (SOIL COMPACTORS),xgboost,12,11,91.66666666666666,100.0,5,7.0,1.3333333333333333,40.0,160.0,160.0,1.4,1.632993161855452,low,HIGH,6,"1 of 12 SKUs missing metrics (91.7% SKU coverage, 100.0% volume coverage)"
GLOBAL PAVING,UCOM (UTILITY COMPACTORS),xgboost,8,8,100.0,100.0,21,28.0,2.1666666666666665,33.33333333333333,18.333333333333336,61.904761904761905,1.3333333333333333,2.5495097567963922,high,HIGH,6,<NA>
LOAD & HAUL,ART (ARTICULATED TRUCKS),xgboost,6,6,100.0,100.0,5,2.0,0.8333333333333334,-60.0,100.0,100.0,0.4,1.0801234497346435,low,HIGH,6,<NA>
LOAD & HAUL,CP (COMPACTORS),xgboost,2,2,100.0,100.0,2,0.0,0.3333333333333333,-100.0,100.0,100.0,0.0,0.5773502691896257,low,HIGH,6,<NA>
LOAD & HAUL,LWL (LARGE WHEEL LOADERS),xgboost,7,7,100.0,100.0,5,2.0,1.1666666666666667,-60.0,140.0,140.0,0.4,1.5811388300841898,low,HIGH,6,<NA>
RIGID FRAME TRUCKS,QCT (QUARRY & CONSTRUCTION TRUCKS),xgboost,6,6,100.0,100.0,3,3.0,0.6666666666666666,0.0,133.33333333333331,133.33333333333331,1.0,1.0,low,HIGH,6,<NA>
TRACKED PRODUCT,TTTLG (LARGE TRACK TYPE (D9-D11)),xgboost,1,0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,nan,insufficient_data,INSUFFICIENT,0,No metrics available for any SKU in this SubGroup (0/1)
