Component,MONTH,Consumption
T0911,2024-03-01,1118.0
T0911,2024-04-01,1283.0
T0911,2024-05-01,1264.0
T0911,2024-06-01,1577.0
T0911,2024-07-01,1747.0
T0911,2024-08-01,927.0
T0911,2024-09-01,1303.0
T0911,2024-10-01,772.0
T0911,2024-11-01,1035.0
T0911,2024-12-01,1026.0
T0911,2025-01-01,1505.0
T0911,2025-02-01,1363.0
T0911,2025-03-01,1048.0
T0911,2025-04-01,473.0
T0911,2025-05-01,373.0
T0911,2025-06-01,521.0
T0911,2025-07-01,455.0
T0911,2025-08-01,413.0
T0911,2025-09-01,591.0
T0911,2025-10-01,578.0
T0911,2025-11-01,427.0
T0911,2025-12-01,263.0
T0911,2026-01-01,336.0
T0911,2026-02-01,238.0
T0911L,2024-03-01,109.0
T0911L,2024-04-01,161.0
T0911L,2024-05-01,246.0
T0911L,2024-06-01,590.0
T0911L,2024-07-01,256.0
T0911L,2024-08-01,327.0
