Component,base_date,ProductCode,DATA_PEDIDO,ForecastSales,ComponentConsumption,QuantityPerUnit
T0911,2026-02-01,K20012,2021-01-01,4,4,1
T0911,2026-02-01,K20012,2021-02-01,6,6,1
T0911,2026-02-01,K20012,2021-03-01,6,6,1
T0911,2026-02-01,K20012,2021-04-01,14,14,1
T0911,2026-02-01,K20012,2021-05-01,2,2,1
T0911,2026-02-01,K20012,2021-06-01,3,3,1
T0911,2026-02-01,K20012,2021-07-01,2,2,1
T0911,2026-02-01,K20012,2021-08-01,16,16,1
T0911,2026-02-01,K20012,2021-09-01,0,0,1
T0911,2026-02-01,K20012,2021-10-01,7,7,1
T0911,2026-02-01,K20012,2021-11-01,16,16,1
T0911,2026-02-01,K20012,2021-12-01,6,6,1
T0911,2026-02-01,K20012,2022-01-01,0,0,1
T0911,2026-02-01,K20012,2022-02-01,0,0,1
T0911,2026-02-01,K20012,2022-03-01,8,8,1
T0911,2026-02-01,K20012,2022-04-01,6,6,1
T0911,2026-02-01,K20012,2022-05-01,12,12,1
T0911,2026-02-01,K20012,2022-06-01,5,5,1
T0911,2026-02-01,K20012,2022-07-01,16,16,1
T0911,2026-02-01,K20012,2022-08-01,2,2,1
T0911,2026-02-01,K20012,2022-09-01,13,13,1
T0911,2026-02-01,K20012,2022-10-01,4,4,1
T0911,2026-02-01,K20012,2022-11-01,12,12,1
T0911,2026-02-01,K20012,2022-12-01,0,0,1
T0911,2026-02-01,K20012,2023-01-01,6,6,1
T0911,2026-02-01,K20012,2023-02-01,11,11,1
T0911,2026-02-01,K20012,2023-03-01,3,3,1
T0911,2026-02-01,K20012,2023-04-01,13,13,1
T0911,2026-02-01,K20012,2023-05-01,37,37,1
T0911,2026-02-01,K20012,2023-06-01,4,4,1
