PEDIDO,COD_FORNE,PRODUTO,DATA_SI,ENTREGA_EFET,QUANTIDADE,MOEDA,PRECO_TOTAL
020-115910-P,2880,T0911,2024-03-11,2024-07-15,2500,US$,16275
035-116025-P,2880,T0911,2024-04-11,2024-09-02,2000,US$,13020
035-116182-P,2880,T0911,2024-06-10,2024-09-26,3000,US$,19530
035-116182-P,2880,T0911,2024-07-03,2024-09-26,1000,US$,6510
035-116334-P,2880,T0911,2024-08-01,2024-11-01,3620,US$,23566
035-116355-P,2880,T0911,2024-09-04,2024-12-18,1000,US$,6510
035-116442-P,2880,T0911,2024-10-02,2025-01-15,1000,US$,6510
035-116665-P,2880,T0911,2024-11-06,2025-03-17,324,US$,2018
035-116665-P,2880,T0911,2024-11-06,2025-03-17,324,US$,2109
035-116665-P,2880,T0911,2024-12-17,2025-03-17,2000,US$,12460
035-116665-P,2880,T0911,2024-12-17,2025-03-17,2000,US$,13020
035-116967-P,2880,T0911,2025-03-06,2025-07-23,250,US$,1556
035-117047-P,2880,T0911,2025-04-07,2025-08-20,250,US$,1557
035-117047-P,2880,T0911,2025-05-13,2025-08-20,500,US$,3115
035-117130-P,2880,T0911,2025-06-10,2025-09-29,940,US$,5856
035-117284-P,2880,T0911,2025-08-05,2025-11-11,1920,US$,11961
035-117437-P,2880,T0911,2025-09-03,2026-02-03,2100,US$,13083
035-117437-P,2880,T0911,2025-09-24,2026-02-03,500,US$,3115
035-117606-P,2880,T0911,2025-12-08,NaT,1950,US$,12148
047-117762-P,2880,T0911,2026-01-23,NaT,3650,US$,22739
035-116192-P,2880,T0911L,2024-05-06,2024-08-30,100,US$,949
035-116192-P,2880,T0911L,2024-06-10,2024-08-30,100,US$,949
035-116192-P,2880,T0911L,2024-06-10,2024-11-06,100,US$,949
035-116192-P,2880,T0911L,2024-06-10,2024-12-18,100,US$,949
035-116253-P,2880,T0911L,2024-06-10,2024-08-30,880,US$,8351
035-116253-P,2880,T0911L,2024-06-10,2024-11-06,880,US$,8351
035-116253-P,2880,T0911L,2024-06-10,2024-12-18,880,US$,8351
035-116355-P,2880,T0911L,2024-06-10,2024-08-30,20,US$,189
035-116355-P,2880,T0911L,2024-06-10,2024-11-06,20,US$,189
035-116355-P,2880,T0911L,2024-06-10,2024-12-18,20,US$,189
