COMPONENT,COD_FORNE,MES,QUANT_PREDITA,LEAD_TIME,MOEDA,PRECO_PREDITO,CLASSE_ABC
T7432,12996,2026-03-01,1325.0,4,US$,9010.0,A
T7432,12996,2026-04-01,1338.0,4,US$,9098.4,A
T571.87,2880,2026-02-01,247.0,4,US$,1729.0,A
T574.89,2880,2026-02-01,208.0,6,US$,1060.8,B
T652.84,2880,2026-02-01,62.0,5,US$,3612.74,C
T0923,2880,2026-03-01,513.0,5,US$,4411.8,A
T646.88,2880,2026-03-01,670.0,4,US$,5808.81,A
T649.90,2880,2026-03-01,424.0,5,US$,3498.0,A
T451.71,2880,2026-04-01,243.0,5,US$,721.71,A
T547.50,2880,2026-04-01,1179.0,5,US$,4279.77,A
T569.92,2880,2026-04-01,2337.0,5,US$,11544.78,A
T646.88,2880,2026-04-01,564.0,4,US$,4889.8,A
T7418,4863,2026-02-01,244.0,5,US$,2074.0,A
T7451,4863,2026-02-01,406.0,5,US$,933.8,A
T7417,4863,2026-03-01,76.0,5,US$,1216.0,B
T7418,4863,2026-03-01,91.0,5,US$,773.5,A
T7450,4863,2026-03-01,305.0,5,US$,701.5,A
T71050,4994,2026-02-01,536.0,3,US$,2680.0,A
T7189,4994,2026-02-01,81.0,4,US$,324.0,B
T71050,4994,2026-03-01,612.0,3,US$,3060.0,A
T0932,5024,2026-02-01,70.0,5,US$,331.55,C
T432.83,5024,2026-02-01,304.0,5,US$,1732.32,A
T582.81,5024,2026-02-01,114.0,5,US$,728.42,A
T650.82,5024,2026-02-01,90.0,5,US$,211.15,B
T582.81,5024,2026-03-01,157.0,5,US$,1003.18,A
T650.82,5024,2026-03-01,73.0,5,US$,171.27,B
T432.83,5024,2026-04-01,248.0,5,US$,1413.21,A
T6706,5355,2026-02-01,32.0,5,USD,217.6,C
T7502,5355,2026-02-01,48.0,5,US$,1200.0,C
T70320,6523,2026-02-01,287.0,5,US$,1219.36,A
