COMPONENT,COD_FORNE,MES,LEAD_TIME,QUANT_TARGET,QUANT_REALIZADA,QUANT_PREDITA,CLASSE_ABC,MOEDA,PRECO_UNIT,PRECO_TARGET,PRECO_REALIZADO,PRECO_PREDITO
T0911,2880,2024-03-01,5,3620.0,2500.0,1956.0,A,US$,6.51,23566.2,16275.0,12733.56
T0911,2880,2024-04-01,5,1000.0,2000.0,2228.0,A,US$,6.51,6510.0,13020.0,14504.279999999999
T0911,2880,2024-05-01,5,1000.0,0.0,2100.0,A,US$,6.51,6510.0,0.0,13671.0
T0911,2880,2024-06-01,4,1000.0,3000.0,1822.0,A,US$,6.51,6510.0,19530.0,11861.22
T0911,2880,2024-07-01,3,1000.0,1000.0,1240.0,A,US$,6.51,6510.0,6510.0,8072.4
T0911,2880,2024-08-01,4,2000.0,3620.0,1322.0,A,US$,6.509944751381216,13019.889502762431,23566.0,8606.146961325967
T0911,2880,2024-09-01,4,0.0,1000.0,0.0,A,US$,6.51,0.0,6510.0,0.0
T0911,2880,2024-10-01,4,0.0,1000.0,0.0,A,US$,6.51,0.0,6510.0,0.0
T0911,2880,2024-11-01,5,250.0,324.0,969.0,A,US$,6.5092592592592595,1627.3148148148148,2109.0,6307.472222222223
T0911,2880,2024-12-01,3,250.0,2000.0,922.0,A,US$,6.51,1627.5,13020.0,6002.22
T0911,2880,2025-01-01,3,250.0,0.0,1047.0,A,US$,6.51,1627.5,0.0,6815.969999999999
T0911,2880,2025-02-01,3,500.0,0.0,1039.0,A,US$,6.51,3255.0,0.0,6763.889999999999
T0911,2880,2025-03-01,5,1920.0,250.0,1746.0,A,US$,6.224,11950.08,1556.0,10867.104000000001
T0911,2880,2025-04-01,5,2600.0,250.0,1751.0,A,US$,6.228,16192.8,1557.0,10905.228
T0911,2880,2025-05-01,4,2600.0,500.0,1428.0,A,US$,6.23,16198.000000000002,3115.0,8896.44
T0911,2880,2025-06-01,4,0.0,940.0,0.0,A,US$,6.229787234042553,0.0,5856.0,0.0
T0911,2880,2025-07-01,4,0.0,0.0,0.0,A,US$,6.229787234042553,0.0,0.0,0.0
T0911,2880,2025-08-01,4,1950.0,1920.0,1708.0,A,US$,6.2296875,12147.890625,11961.0,10640.30625
T0911,2880,2025-09-01,6,nan,2600.0,0.0,A,US$,6.23,nan,16198.000000000002,0.0
T0911,2880,2025-10-01,6,nan,0.0,862.0,A,US$,6.23,nan,0.0,5370.26
T0911,2880,2025-11-01,6,nan,0.0,0.0,A,US$,6.23,nan,0.0,0.0
T0911,2880,2025-12-01,4,nan,1950.0,0.0,A,US$,6.22974358974359,nan,12148.0,0.0
T0911,2880,2026-01-01,4,nan,3650.0,0.0,A,US$,6.22986301369863,nan,22739.0,0.0
T0911L,2880,2024-03-01,4,500.0,0.0,423.0,A,<NA>,nan,nan,nan,nan
T0911L,2880,2024-04-01,4,0.0,0.0,0.0,A,<NA>,nan,nan,nan,nan
T0911L,2880,2024-05-01,4,1350.0,100.0,0.0,A,US$,9.49,12811.5,949.0,0.0
T0911L,2880,2024-06-01,3,1350.0,880.0,430.0,A,US$,9.489772727272728,12811.193181818182,8351.0,4080.602272727273
T0911L,2880,2024-07-01,6,0.0,500.0,0.0,A,US$,9.49,0.0,4745.0,0.0
T0911L,2880,2024-08-01,6,0.0,0.0,0.0,A,US$,9.49,0.0,0.0,0.0
T0911L,2880,2024-09-01,5,0.0,1350.0,0.0,A,US$,9.48962962962963,0.0,12811.0,0.0
