Component,Cod_X,Description,Group,Group_name,Supp_Cod,Supplier,ABC,New_ABC,Stock,Transit,Reserved,Total_Stock,Sales_12M,Unfulfilled_12M,Venda_mensal,%_Export_12M,Estoque_de_Seguran_a,Final_order,Total_Cost,Final_order_baseline,Sales-M9,Sales-M10,Sales-M11,Sales-M12,Sales-M1,Alcance_-_Estoque_Atual,Alcance_-_Estoque_Total,Alcance_-_Estoque_total_+_Novo_pedido,Currency,Cost,Multiplier,RP,LT,LT+RP,T_02_2026,T_03_2026,T_04_2026,NewProduct,IsException,Service_Level,Alerta_(Diferen_a:_Modelo_-_Baseline),Alerta_(Model_vs_Demand_Ratio),Alerta_Ruptura,Inventory_level,Safety_stock,Inspection,KanBan_Min,KanBan_Max,Origin,Demand_(LT+RP),On_demand,Participacao,Participacao_Acumulada,check_abc,Flag,Origem_Sugest_o,Cobertura,Check_Suggestion,Min_Order_Value_Warning,Diferen_a_(Modelo_-_Baseline),Diferen_a_Abs,Compara__o,Model_vs_Demand_Ratio,M_dia,DP,CV,CV_Flag,Nivel_de_Servico,Valor_cr_tico_da_normal_(Z),Z_Flag,Sigma_no_per_odo,Demanda_M_dia_no_Periodo,ROP,Order_Up_To,Venda_Perdida_Projetada_(Unid),Venda_Perdida_Projetada_($),Nova_cobertura,T_05_2026,Sales-M2,min,max,precision
T73020,X000514,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,A,3564,3330,8,6886,29575,10,2465,9.36,3443,0,0.0,10370,2555,2478,769,2791,2996,1,3,3,US$,2.7,10,35,107,142,0,0,0,False,False,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,3564,1409,0,<NA>,2,I,0,False,3.72,3.72,True,Comprar,Flag: Não Comprar,2.79,False,False,-10370,10370,[Baseline > Model],0.0,1931.5,1236.24,0.64,ALTO,0.9,1.28,90% de chance de não faltar,2689.59,9142.43,11832.02,14085.44,4781.666666666673,12910.5,3.0,0,0,0.0,0.0,high
T7448,X000577,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,A,6343,13370,882,18831,27774,0,2314,68.25,3119,0,0.0,0,1784,3049,2730,1217,2333,3,8,8,US$,2.3,10,35,107,142,6230,1220,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,6343,3143,0,<NA>,10701,I,0,False,3.49,7.21,True,Não Comprar,Flag: Não Comprar,8.14,False,False,0,0,[Model == Baseline],0.0,1852.17,1120.07,0.6,ALTO,0.9,1.28,90% de chance de não faltar,2436.85,8766.94,11203.79,13364.66,0.0,0.0,8.0,5920,0,0.0,0.0,medium
T7308,X000525,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,A,5002,3080,400,7682,21877,0,1823,13.55,2377,0,0.0,5080,1926,2439,1687,2012,1271,3,4,4,US$,1.6,10,35,107,142,0,0,0,False,False,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,5002,1118,0,<NA>,2,I,0,False,2.75,9.96,True,Comprar,Flag: Não Comprar,4.21,False,False,-5080,5080,[Baseline > Model],0.0,1555.83,853.7,0.55,ALTO,0.9,1.28,90% de chance de não faltar,1857.33,7364.26,9221.59,11036.72,946.8666666666587,1514.99,4.0,0,0,0.0,0.0,medium
T7248,X000482,SENSOR TPS,TC05,TPS,4863,ZHITESEN,A,A,2013,0,0,2013,19510,3,1626,23.43,2278,0,0.0,9370,1221,2232,965,1174,2109,1,1,1,US$,2.3,10,35,107,142,0,0,0,False,False,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,2013,1438,0,<NA>,6801,I,0,False,2.45,12.41,True,Comprar,Flag: Não Comprar,1.24,False,False,-9370,9370,[Baseline > Model],0.0,1283.5,818.02,0.64,ALTO,0.9,1.28,90% de chance de não faltar,1779.7,6075.23,7854.93,9352.35,5683.3999999999905,13071.82,1.0,0,0,0.0,0.0,medium
T547.50,X001061,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,A,3011,3700,0,6711,17630,0,1469,0.0,1760,0,0.0,3580,1500,1313,1237,1300,1650,2,5,5,US$,3.63,10,35,127,162,0,1700,0,False,True,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,3011,1247,0,<NA>,2,I,0,False,2.21,14.62,True,Comprar,Flag: Não Comprar,4.57,False,False,-3580,3580,[Baseline > Model],0.0,1166.67,591.6,0.51,ALTO,0.9,1.28,90% de chance de não faltar,1374.75,6300.02,7674.77,9035.88,1221.5999999999804,4434.41,5.0,0,0,0.0,0.0,medium
T573.89,X001130,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,A,73,7045,94,7024,15572,12,1298,7.13,2005,0,0.0,2070,1565,1711,872,1342,1757,0,5,5,US$,5.1,10,35,127,162,0,1050,0,False,False,ALTA VOLATILIDADE,🔴,🟢,🟢 Estoque Saudável,73,912,0,<NA>,2,I,0,False,1.96,16.58,True,Comprar,Flag: Não Comprar,5.41,False,False,-2070,2070,[Baseline > Model],0.0,1207.83,674.09,0.56,ALTO,0.9,1.28,90% de chance de não faltar,1566.44,6522.28,8088.72,9497.86,0.0,0.0,5.0,0,0,0.0,0.0,high
T7328,X000540,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,A,729,9480,54,10155,15454,2,1288,16.65,1536,0,0.0,0,1071,1581,1078,1309,1313,1,8,8,US$,1.3,10,35,107,142,0,2620,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,729,1588,0,<NA>,801,I,0,False,1.94,18.52,True,Não Comprar,Flag: Não Comprar,7.88,False,False,0,0,[Model == Baseline],0.0,1058.67,551.63,0.52,ALTO,0.9,1.28,90% de chance de não faltar,1200.14,5011.04,6211.18,7446.3,0.0,0.0,8.0,4900,0,0.0,0.0,low
T7325,X000537,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,A,2302,8820,102,11020,15225,0,1269,27.57,1436,0,0.0,0,1092,1190,599,1341,1237,2,9,9,US$,1.3,10,35,107,142,0,1770,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,2302,781,0,<NA>,801,I,0,False,1.91,20.43,True,Não Comprar,Flag: Não Comprar,8.68,False,False,0,0,[Model == Baseline],0.0,909.83,515.56,0.57,ALTO,0.9,1.28,90% de chance de não faltar,1121.66,4306.53,5428.19,6489.66,0.0,0.0,9.0,5540,0,0.0,0.0,medium
T7275,X000502,SENSOR TPS,TC05,TPS,4863,ZHITESEN,A,A,838,5800,10,6628,12707,0,1059,4.86,1910,0,0.0,790,391,647,725,1151,1981,1,6,6,US$,2.5,10,35,107,142,1950,2330,0,False,False,ALTA VOLATILIDADE,🟡,🟢,🟢 Estoque Saudável,838,1130,0,<NA>,5101,I,0,False,1.6,22.03,True,Comprar,Flag: Não Comprar,6.26,False,False,-790,790,[Baseline > Model],0.0,815.83,685.97,0.84,ALTO,0.9,1.28,90% de chance de não faltar,1492.41,3861.6,5354.01,6305.81,0.0,0.0,6.0,1520,0,0.0,0.0,medium
T73019,X000512,SENSOR DE VELOCIDADE,TC26,SENSOR VELOCIDADE,6523,ABORN,A,A,727,7140,0,7867,12027,16,1002,10.94,1541,0,0.0,0,1177,916,288,1133,1404,1,8,8,US$,2.62,10,35,107,142,0,2790,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,727,551,0,<NA>,5901,I,0,False,1.51,23.54,True,Não Comprar,Flag: Não Comprar,7.85,False,False,0,0,[Model == Baseline],0.0,819.67,553.37,0.68,ALTO,0.9,1.28,90% de chance de não faltar,1203.92,3879.77,5083.69,6039.97,0.0,0.0,8.0,2920,0,0.0,0.0,high
T70020,X000149,SENSOR DETONACAO,TC15,SENSOR DE DETONACAO,7908,FONAN AUTOMOTIVE,A,A,1680,5650,0,7330,11824,0,985,25.14,1095,0,0.0,0,1084,735,1003,835,1111,2,7,7,US$,3.4,10,35,92,127,1880,1550,2220,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,1680,1338,0,<NA>,5001,I,0,False,1.49,25.03,True,Não Comprar,Flag: Não Comprar,7.44,False,False,0,0,[Model == Baseline],0.0,794.67,415.66,0.52,ALTO,0.9,1.28,90% de chance de não faltar,855.22,3364.1,4219.32,5146.43,0.0,0.0,7.0,0,0,0.0,0.0,high
T0911,X000929,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,A,1862,8200,255,9807,11461,10,955,56.42,1630,0,0.0,0,1563,1124,438,854,577,2,10,10,US$,6.23,10,35,127,162,0,0,1950,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,1862,1073,0,<NA>,4801,I,0,False,1.44,26.47,True,Não Comprar,Flag: Não Comprar,10.27,False,False,0,0,[Model == Baseline],0.0,759.33,547.89,0.72,ALTO,0.9,1.28,90% de chance de não faltar,1273.18,4100.38,5373.56,6259.45,0.0,0.0,10.0,0,0,0.0,0.0,low
T70316,X000974,SENSOR DE ROTACAO,TC29,SENSOR ROTACAO,6523,ABORN,A,A,158,6850,8,7000,11305,1,942,9.73,1614,0,0.0,0,839,1454,502,906,1537,0,7,7,US$,2.7,10,35,107,142,0,1720,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,158,793,0,<NA>,4601,I,0,False,1.42,27.89,True,Não Comprar,Flag: Não Comprar,7.43,False,False,0,0,[Model == Baseline],0.0,873.0,579.74,0.66,ALTO,0.9,1.28,90% de chance de não faltar,1261.3,4132.2,5393.5,6412.0,0.0,0.0,7.0,3550,0,0.0,0.0,medium
T7441,X000570,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,A,2498,5020,250,7268,10560,0,880,85.36,1162,0,0.0,0,720,771,287,458,1195,3,8,8,US$,2.3,10,35,107,142,1080,1230,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,2498,492,0,<NA>,3601,I,0,False,1.33,29.22,True,Não Comprar,Flag: Não Comprar,8.26,False,False,0,0,[Model == Baseline],0.0,571.83,417.38,0.73,ALTO,0.9,1.28,90% de chance de não faltar,908.06,2706.66,3614.72,4281.85,0.0,0.0,8.0,2710,0,0.0,0.0,high
T70577,X000899,SENSOR DE FASE,TC36,SENSOR DE FASE,6523,ABORN,A,A,293,6020,4,6309,10510,0,876,3.4,1267,0,0.0,0,964,1049,416,974,1171,0,7,7,US$,3.5,10,35,107,142,0,2960,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,293,725,0,<NA>,4001,I,0,False,1.32,30.54,True,Não Comprar,Flag: Não Comprar,7.2,False,False,0,0,[Model == Baseline],0.0,762.33,455.14,0.6,ALTO,0.9,1.28,90% de chance de não faltar,990.21,3608.36,4598.57,5487.96,0.0,0.0,7.0,1950,0,0.0,0.0,medium
T569.92,X001097,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,A,5488,0,0,5488,9959,6,830,2.82,1176,0,0.0,330,1056,950,673,978,919,7,7,7,US$,4.94,10,35,127,162,0,0,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,5488,280,0,<NA>,2,I,0,False,1.25,31.79,True,Comprar,Flag: Não Comprar,6.61,False,False,-330,330,[Baseline > Model],0.0,762.67,395.39,0.52,ALTO,0.9,1.28,90% de chance de não faltar,918.8,4118.42,5037.22,5927.0,0.0,0.0,7.0,0,0,0.0,0.0,low
T7427,X000556,VALV. M.L. - IACV,TC04,IACV,4863,ZHITESEN,A,A,1593,4460,263,5790,9732,0,811,17.12,1404,0,0.0,0,561,1260,373,461,1247,2,7,7,US$,5.0,10,35,107,142,1500,0,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,1593,553,0,<NA>,3901,I,0,False,1.22,33.01,True,Não Comprar,Flag: Não Comprar,7.14,False,False,0,0,[Model == Baseline],0.0,650.33,504.26,0.78,ALTO,0.9,1.28,90% de chance de não faltar,1097.08,3078.23,4175.31,4934.03,0.0,0.0,7.0,2960,0,0.0,0.0,medium
T70305,X000852,SENSOR DE ROTACAO,TC29,SENSOR ROTACAO,6523,ABORN,A,A,1239,5320,11,6548,8841,0,737,13.54,909,0,0.0,0,936,692,537,716,785,2,9,9,US$,3.12,10,35,107,142,0,970,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,1239,562,0,<NA>,3501,I,0,False,1.11,34.12,True,Não Comprar,Flag: Não Comprar,8.88,False,False,0,0,[Model == Baseline],0.0,611.0,326.28,0.53,ALTO,0.9,1.28,90% de chance de não faltar,709.86,2892.07,3601.93,4314.76,0.0,0.0,9.0,3280,0,0.0,0.0,medium
T7447,X000576,MOTOR DE PASSO IAC,TC25,IAC - ATUADOR,4863,ZHITESEN,A,A,5289,3730,0,9019,8354,0,696,99.47,1062,0,0.0,0,170,102,0,6,974,8,13,13,US$,2.3,10,35,107,142,600,0,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,5289,274,0,<NA>,3801,I,0,False,1.05,35.17,True,Não Comprar,Flag: Não Comprar,12.96,False,False,0,0,[Model == Baseline],0.0,208.67,381.25,1.83,ALTO,0.9,1.28,90% de chance de não faltar,829.46,987.7,1817.16,2060.61,0.0,0.0,13.0,3130,0,0.0,0.0,high
T7004,X000154,SENSOR DETONACAO,TC15,SENSOR DE DETONACAO,7909,FLY AUTO PARTS CO.,A,A,1131,3660,0,4791,7737,0,645,0.13,1104,0,0.0,0,1025,879,336,670,1056,2,7,7,US$,2.8,10,35,92,127,1240,280,2140,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,1131,772,0,<NA>,3001,I,0,False,0.97,36.14,True,Não Comprar,Flag: Não Comprar,7.43,False,False,0,0,[Model == Baseline],0.0,661.0,419.21,0.63,ALTO,0.9,1.28,90% de chance de não faltar,862.53,2798.23,3660.76,4431.93,0.0,0.0,7.0,0,0,0.0,0.0,high
T483.82,X000869,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,A,5,6250,30,6225,7488,10,624,19.02,1226,0,0.0,0,1043,911,220,323,324,0,10,10,US$,9.47,10,35,127,162,0,2550,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,5,722,0,<NA>,301,I,0,False,0.94,37.08,True,Não Comprar,Flag: Não Comprar,9.98,False,False,0,0,[Model == Baseline],0.0,470.17,412.1,0.88,ALTO,0.9,1.28,90% de chance de não faltar,957.63,2538.92,3496.55,4045.08,0.0,0.0,10.0,0,0,0.0,0.0,low
T0912L,X000923,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,A,A,59,7910,50,7919,7465,0,622,6.39,828,0,0.0,0,766,723,470,426,603,0,13,13,US$,7.28,10,35,127,162,0,810,0,False,False,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,59,1352,0,<NA>,3001,I,0,False,0.94,38.02,True,Não Comprar,Flag: Não Comprar,12.73,False,False,0,0,[Model == Baseline],0.0,498.0,278.37,0.56,ALTO,0.9,1.28,90% de chance de não faltar,646.87,2689.2,3336.07,3917.07,0.0,0.0,13.0,0,0,0.0,0.0,medium
