PRODUTO,QTDE_NAO_ENTREGUE,EMBARQUE_EFET,ENTREGA_PREVISTA_SI,PROFORMA,COD_FORNE,FORNEC_NOM,PEDIDO,INVOICE,PROCESSO,DATA_SI,CONFIRMACAO_PEDIDO,EMBARQUE_PREVISTO_PO,CHEG_PORTO_ETA,CHEG_PORTO_ETA_15,CODIGO_X_MTE,COD_PROD_FOR,ENTREGA_PREVISTA_PO,NUMERO_SI
T0911,1950.0,NaT,2026-04-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,<NA>,<NA>,2025-12-08,nan,2026-03-13,NaT,NaT,X000929,1958-O,2026-04-14,4110
T0911,3650.0,NaT,2026-05-30,<NA>,2880,TCI GLOBAL CORP,047-117762-P,<NA>,<NA>,2026-01-23,nan,2026-04-28,NaT,NaT,X000929,1958-O,2026-05-30,4163
T0911L,600.0,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,<NA>,<NA>,2025-11-07,nan,2026-01-28,NaT,NaT,X001080,1958AL-O,2026-03-21,4073
T0911L,1150.0,NaT,2026-04-14,<NA>,2880,TCI GLOBAL CORP,047-117663-P,<NA>,<NA>,2025-12-08,nan,2026-02-25,NaT,NaT,X001080,1958AL-O,2026-04-18,4110
T0911L,20.0,NaT,2026-05-30,<NA>,2880,TCI GLOBAL CORP,047-117762-P,<NA>,<NA>,2026-01-23,nan,2026-04-28,NaT,NaT,X001080,1958AL-O,2026-05-30,4163
T0912L,810.0,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,<NA>,<NA>,2025-11-07,nan,2026-01-28,NaT,NaT,X000923,1883-AL,2026-03-21,4073
T0912L,5120.0,NaT,2026-05-30,<NA>,2880,TCI GLOBAL CORP,047-117762-P,<NA>,<NA>,2026-01-23,nan,2026-04-28,NaT,NaT,X000923,1883-AL,2026-05-30,4163
T0914L,1000.0,NaT,2026-03-14,PI-251113-G235,2880,TCI GLOBAL CORP,035-117606-P,<NA>,<NA>,2025-11-07,nan,2026-01-28,NaT,NaT,X001129,1946ALN,2026-03-21,4073
T0914L,1060.0,NaT,2026-04-14,<NA>,2880,TCI GLOBAL CORP,047-117663-P,<NA>,<NA>,2025-12-08,nan,2026-02-25,NaT,NaT,X001129,1946ALN,2026-04-18,4110
T0914L,410.0,NaT,2026-05-30,<NA>,2880,TCI GLOBAL CORP,047-117762-P,<NA>,<NA>,2026-01-23,nan,2026-04-28,NaT,NaT,X001129,1946ALN,2026-05-30,4163
T0922,100.0,NaT,2026-05-30,<NA>,2880,TCI GLOBAL CORP,047-117762-P,<NA>,<NA>,2026-01-23,nan,2026-04-28,NaT,NaT,X000944,1987,2026-05-30,4163
