Alerta,Data_SI,SI,Grupo,MTE,MTE_X,Qtd,DT._Entrega_PO,Entrega_Prevista,Fornecedor,Cod_Prod._Forn.,Proforma,PO,Invoice,C_digo_Embarque,Conf._PO,DT._Prod._Prev.,DT._Prod._Real,Data_Embarque,Data_Prevista_Chegada_Porto,Status_Pedido,OBS_1,OBS_2,year_month
Em Progresso,2025-12-08,4110,TC02,T0911,X000929,1950.0,2026-04-14,NaT,TCI GLOBAL CORP,1958-O,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-02-26,NaT,NaT,NaT,Negociação,NaT,NaT,2026-04-01
Em Progresso,2026-01-23,4163,TC02,T0911,X000929,3650.0,2026-05-30,NaT,TCI GLOBAL CORP,1958-O,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2025-11-07,4073,TC02,T0911L,X001080,600.0,2026-03-21,NaT,TCI GLOBAL CORP,1958AL-O,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-12-08,4110,TC02,T0911L,X001080,1150.0,2026-04-18,NaT,TCI GLOBAL CORP,1958AL-O,<NA>,047-117663-P,<NA>,<NA>,nan,2026-02-10,NaT,NaT,NaT,Negociação,NaT,NaT,2026-04-01
Em Progresso,2026-01-23,4163,TC02,T0911L,X001080,20.0,2026-05-30,NaT,TCI GLOBAL CORP,1958AL-O,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2025-11-07,4073,TC02,T0912L,X000923,810.0,2026-03-21,NaT,TCI GLOBAL CORP,1883-AL,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2026-01-23,4163,TC02,T0912L,X000923,5120.0,2026-05-30,NaT,TCI GLOBAL CORP,1883-AL,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2025-11-07,4073,TC02,T0914L,X001129,1000.0,2026-03-21,NaT,TCI GLOBAL CORP,1946ALN,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-12-08,4110,TC02,T0914L,X001129,1060.0,2026-04-18,NaT,TCI GLOBAL CORP,1946ALN,<NA>,047-117663-P,<NA>,<NA>,nan,2026-02-10,NaT,NaT,NaT,Negociação,NaT,NaT,2026-04-01
Em Progresso,2026-01-23,4163,TC02,T0914L,X001129,410.0,2026-05-30,NaT,TCI GLOBAL CORP,1946ALN,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2026-01-23,4163,TUB1,T0922,X000944,100.0,2026-05-30,NaT,TCI GLOBAL CORP,1987,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2025-11-07,4073,TUB2,T0922L,X001270,850.0,2026-03-21,NaT,TCI GLOBAL CORP,1987AL-CO,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-12-08,4110,TUB2,T0922L,X001270,470.0,2026-04-18,NaT,TCI GLOBAL CORP,1987AL-CO,<NA>,047-117663-P,<NA>,<NA>,nan,2026-02-10,NaT,NaT,NaT,Negociação,NaT,NaT,2026-04-01
Em Progresso,2026-01-23,4163,TUB2,T0922L,X001270,450.0,2026-05-30,NaT,TCI GLOBAL CORP,1987AL-CO,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2025-11-07,4073,TC02,T0923,X001079,500.0,2026-03-21,NaT,TCI GLOBAL CORP,1944AL,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-12-08,4110,TC02,T0923,X001079,330.0,2026-04-18,NaT,TCI GLOBAL CORP,1944AL,<NA>,047-117663-P,<NA>,<NA>,nan,2026-02-10,NaT,NaT,NaT,Negociação,NaT,NaT,2026-04-01
Em Progresso,2026-01-23,4163,TC02,T0923,X001079,1040.0,2026-05-30,NaT,TCI GLOBAL CORP,1944AL,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2026-01-23,4166,TC02,T0927,X001152,150.0,2026-05-30,NaT,OSSCA,31252,<NA>,047-117746-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2026-01-23,4163,TC02,T0928L,X001239,60.0,2026-05-30,NaT,TCI GLOBAL CORP,1915-AL-O,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2026-01-23,4163,TC02,T0929,X001241,470.0,2026-05-30,NaT,TCI GLOBAL CORP,1977-O,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2025-11-07,4073,TC02,T0930L,X001250,250.0,2026-03-21,NaT,TCI GLOBAL CORP,2187AL,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-12-08,4110,TC02,T0930L,X001250,160.0,2026-04-18,NaT,TCI GLOBAL CORP,2187AL,<NA>,047-117663-P,<NA>,<NA>,nan,2026-02-10,NaT,NaT,NaT,Negociação,NaT,NaT,2026-04-01
Em Progresso,2026-01-23,4163,TC02,T0930L,X001250,190.0,2026-05-30,NaT,TCI GLOBAL CORP,2187AL,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2026-01-23,4166,TC02,T0932,X001543,220.0,2026-05-30,NaT,OSSCA,84137,<NA>,047-117746-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2025-11-07,4073,TC02,T0933L,X001646,60.0,2026-03-21,NaT,TCI GLOBAL CORP,2579-S,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-12-08,4110,TC02,T0933L,X001646,30.0,2026-04-18,NaT,TCI GLOBAL CORP,2579-S,<NA>,047-117663-P,<NA>,<NA>,nan,2026-02-10,NaT,NaT,NaT,Negociação,NaT,NaT,2026-04-01
Em Progresso,2026-01-23,4163,TC02,T0934L,X001647,280.0,2026-05-30,NaT,TCI GLOBAL CORP,1939-S,<NA>,047-117762-P,<NA>,<NA>,nan,2026-04-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-05-01
Em Progresso,2025-11-07,4073,TC02,T0935L,X000164,60.0,2026-03-21,NaT,TCI GLOBAL CORP,1570AL-O,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
Em Progresso,2025-12-08,4110,TC02,T322.88,X000032,100.0,2026-04-18,NaT,TCI GLOBAL CORP,1588-88,<NA>,047-117663-P,<NA>,<NA>,nan,2026-02-10,NaT,NaT,NaT,Negociação,NaT,NaT,2026-04-01
Em Progresso,2025-11-07,4073,TC02,T323.88,X000033,90.0,2026-03-21,NaT,TCI GLOBAL CORP,1594-O-88,PI-251113-G235,035-117606-P,<NA>,<NA>,nan,2026-01-13,NaT,NaT,NaT,Negociação,NaT,NaT,2026-03-01
