PRODUTO,DESCRICAO,QUANT_BO,DT_ENTREGA
R79525,BOBINA DE IGNICAO,3,NaT
R7954,BOBINA DE IGNICAO,4,NaT
R79549,BOBINA DE IGNICAO,150,NaT
R79565,BOBINA DE IGNICAO,10,NaT
R7960,BOBINA DE IGNICAO,1,NaT
R7961,BOBINA DE IGNICAO,20,NaT
R7962,BOBINA DE IGNICAO,2,NaT
R7976,BOBINA DE IGNICAO,4,NaT
R7979,BOBINA DE IGNICAO,1,NaT
R7986,BOBINA DE IGNICAO,12,NaT
R7988,BOBINA DE IGNICAO,15,NaT
R7989,BOBINA DE IGNICAO,200,NaT
R7992,BOBINA DE IGNICAO,10,NaT
R7994,BOBINA DE IGNICAO,40,NaT
R7995,BOBINA DE IGNICAO,3,NaT
R7995,BOBINA DE IGNICAO,3,NaT
R7995,BOBINA DE IGNICAO,5,NaT
R7995,BOBINA DE IGNICAO,400,NaT
R7506,CORPO DE BORBOLETA,5,NaT
R7508,CORPO DE BORBOLETA,5,NaT
R7513,CORPO DE BORBOLETA,5,NaT
R814,INTERRUPTOR DE TEMPERATURA,50,NaT
R814,INTERRUPTOR DE TEMPERATURA,30,NaT
R814,INTERRUPTOR DE TEMPERATURA,30,NaT
R850,INTERRUPTOR DE TEMPERATURA,13,NaT
R860,INTERRUPTOR DE TEMPERATURA,1,NaT
R871,INTERRUPTOR DE TEMPERATURA,50,NaT
R872,INTERRUPTOR DE TEMPERATURA,5,NaT
R872,INTERRUPTOR DE TEMPERATURA,5,NaT
R872,INTERRUPTOR DE TEMPERATURA,50,NaT
