index,PRODUTO,COD_FORNE,FORNEC_NOM,COD_FABRI,MOEDA,CUSTO_PRODUTO,PTAX,COD_PROD_FOR
11500,T036L,2880,TCI GLOBAL CORP,7080,US$,14.41,0.0,2500AL-S
11501,T036L,7080,SMART,7080,US$,13.1,0.0,2500AL-S
11502,T0911,2880,TCI GLOBAL CORP,7080,US$,6.23,0.0,1958-O
11505,T0911,7080,SMART,7080,US$,5.66,0.0,1958-O
11506,T0911L,2880,TCI GLOBAL CORP,7080,US$,9.07,0.0,1958AL-O
11509,T0911L,7080,SMART,7080,US$,8.25,0.0,1958AL-O
11510,T0912L,2880,TCI GLOBAL CORP,7080,US$,7.28,0.0,1883-AL
11513,T0912L,7080,SMART,7080,US$,6.62,0.0,1883-AL
11514,T0913L,2880,TCI GLOBAL CORP,7080,US$,1.46,0.0,1864AL
11517,T0913L,7080,SMART,7080,US$,1.33,0.0,1864AL
11518,T0914L,2880,TCI GLOBAL CORP,7080,US$,1.84,0.0,1946ALN
11520,T0914L,7080,SMART,7080,US$,1.67,0.0,1946ALN
11521,T0922,2880,TCI GLOBAL CORP,7080,US$,1.82,0.0,1987
11524,T0922,7080,SMART,7080,US$,1.65,0.0,1987
11525,T0922,8461,NINGBO YINZHOU BRAVO,8461,US$,2.1,0.0,CF01277
11526,T0922,9246,BRAVO-WINTOM,9246,US$,1.6,0.0,CF01277
11527,T0922L,2880,TCI GLOBAL CORP,7080,US$,4.12,0.0,1987AL-CO
11530,T0922L,7080,SMART,7080,US$,3.75,0.0,1987AL-CO
11531,T0923,2880,TCI GLOBAL CORP,7080,US$,8.6,0.0,1944AL
11534,T0923,7080,SMART,7080,US$,7.82,0.0,1944AL
11535,T0924,2880,TCI GLOBAL CORP,7080,US$,4.09,0.0,2139-O
11538,T0924,7080,SMART,7080,US$,3.72,0.0,2139-O
11539,T0925,2880,TCI GLOBAL CORP,7080,US$,1.88,0.0,1980-O
11542,T0925,7080,SMART,7080,US$,1.71,0.0,1980-O
11543,T0926,2880,TCI GLOBAL CORP,7080,US$,1.88,0.0,1983-O
11545,T0926,7080,SMART,7080,US$,1.71,0.0,1983-O
11546,T0927,2880,TCI GLOBAL CORP,7080,US$,6.23,0.0,2194-O
11549,T0927,5024,OSSCA,5024,US$,5.99,0.0,31252
11550,T0927,7080,SMART,7080,US$,5.42,0.0,2194-O
11551,T0928L,2880,TCI GLOBAL CORP,7080,US$,5.74,0.0,1915-AL-O
