Filial,Emissao,UnidReq,CodComp,Produto,Local,Quant,CC,DatPRF,DatEmbarque,Forn,Fabr,Moeda,Preco_Unit,Min_Order_Value_Warning
1,2026-02-02,1,35,T73020,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.7,False
1,2026-02-02,1,35,T7308,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.6,False
1,2026-02-02,1,35,T7328,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.3,False
1,2026-02-02,1,35,T7325,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.3,False
1,2026-02-02,1,35,T73019,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.62,False
1,2026-02-02,1,35,T70316,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.7,False
1,2026-02-02,1,35,T70577,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,3.5,False
1,2026-02-02,1,35,T70305,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,3.12,False
1,2026-02-02,1,35,T70436,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.7,False
1,2026-02-02,1,35,T70558,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.81,False
1,2026-02-02,1,35,T73026,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.5,False
1,2026-02-02,1,35,T70412,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,3.77,False
1,2026-02-02,1,35,T70512,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.8,False
1,2026-02-02,1,35,T70422,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.8,False
1,2026-02-02,1,35,T73022,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.4,False
1,2026-02-02,1,35,T73336,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.3,False
1,2026-02-02,1,35,T70583,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.63,False
1,2026-02-02,1,35,T73327,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.3,False
1,2026-02-02,1,35,T73032,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.43,False
1,2026-02-02,1,35,T70337,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.84,False
1,2026-02-02,1,35,T73335,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.3,False
1,2026-02-02,1,35,T73328,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.3,False
1,2026-02-02,1,35,T70584,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,4.06,False
1,2026-02-02,1,35,T70401,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,1.92,False
1,2026-02-02,1,35,T73023,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.8,False
1,2026-02-02,1,35,T70578,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,3.14,False
1,2026-02-02,1,35,T70302,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,4.06,False
1,2026-02-02,1,35,T70317,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,2.6,False
1,2026-02-02,1,35,T70565,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,3.2,False
1,2026-02-02,1,35,T70426,1,0,20,2026-05-20,2026-04-18,6523,6523,US$,3.36,False
