Component,Cod_X,Description,Group_name,Supp_Cod,Supplier,ABC,Participacao,New_ABC,check_abc,Alcance_-_Estoque_Atual,Alcance_-_Estoque_Total,Alcance_-_Estoque_total_+_Novo_pedido_(Model),Alcance_-_Estoque_total_+_Novo_pedido_(Baseline),Flag,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Venda_mensal,Cobertura,Final_order,Final_order_baseline,Final_order_ruptura,Nova_cobertura_Ruptura,Unfulfilled_12M,KanBan_Min,KanBan_Max,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,Sales-M9,Sales-M10,Sales-M11,Sales-M12,Sales-M1,Sales-M2,NewProduct,IsException,Check_Suggestion,Min_Order_Value_Warning,Group,Estoque_de_Seguran_a,Alcance_-_Estoque_total_+_Novo_pedido,T_02_2026,T_03_2026,T_04_2026,Service_Level,Alerta_(Diferen_a:_Modelo_-_Baseline),Alerta_(Model_vs_Demand_Ratio),Alerta_Ruptura,Participacao_Acumulada,Origem_Sugest_o,Diferen_a_(Modelo_-_Baseline),Diferen_a_Abs,Compara__o,Model_vs_Demand_Ratio,M_dia,DP,CV,CV_Flag,Nivel_de_Servico,Valor_cr_tico_da_normal_(Z),Z_Flag,Sigma_no_per_odo,Demanda_M_dia_no_Periodo,ROP,Order_Up_To,Venda_Perdida_Projetada_(Unid),Venda_Perdida_Projetada_($),Nova_cobertura,T_05_2026
T73020,X000514,SENSOR DE VELOCIDADE,SENSOR VELOCIDADE,6523,ABORN,A,3.72,A,True,1,3,3,7,Comprar,3564,3330,0,8,6886,29575,2465,2.79,0,10370,10370,7,10,0,2,9.36,1409,35,107,142,3564,0,False,I,2.7,US$,10.0,0.0,2555,2478,769,2791,2996,0,False,False,False,False,TC26,3443.0,3.0,0.0,0.0,0.0,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,3.72,Flag: Não Comprar,-10370.0,10370.0,[Baseline > Model],0.0,1931.5,1236.24,0.64,ALTO,0.9,1.28,90% de chance de não faltar,2689.59,9142.43,11832.02,14085.44,4781.666666666673,12910.5,3.0,0.0
T7448,X000577,MOTOR DE PASSO IAC,IAC - ATUADOR,4863,ZHITESEN,A,3.49,A,True,3,8,8,8,Não Comprar,6343,13370,0,882,18831,27774,2314,8.14,0,0,0,8,0,0,10701,68.25,3143,35,107,142,6343,0,False,I,2.3,US$,10.0,0.0,1784,3049,2730,1217,2333,0,False,False,False,False,TC25,3119.0,8.0,6230.0,1220.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,7.21,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,1852.17,1120.07,0.6,ALTO,0.9,1.28,90% de chance de não faltar,2436.85,8766.94,11203.79,13364.66,0.0,0.0,8.0,5920.0
T7308,X000525,SENSOR DE VELOCIDADE,SENSOR VELOCIDADE,6523,ABORN,A,2.75,A,True,3,4,4,7,Comprar,5002,3080,0,400,7682,21877,1823,4.21,0,5080,5080,7,0,0,2,13.55,1118,35,107,142,5002,0,False,I,1.6,US$,10.0,0.0,1926,2439,1687,2012,1271,0,False,False,False,False,TC26,2377.0,4.0,0.0,0.0,0.0,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,9.96,Flag: Não Comprar,-5080.0,5080.0,[Baseline > Model],0.0,1555.83,853.7,0.55,ALTO,0.9,1.28,90% de chance de não faltar,1857.33,7364.26,9221.59,11036.72,946.8666666666587,1514.99,4.0,0.0
T7248,X000482,SENSOR TPS,TPS,4863,ZHITESEN,A,2.45,A,True,1,1,1,7,Comprar,2013,0,0,0,2013,19510,1626,1.24,0,9370,9370,7,3,0,6801,23.43,1438,35,107,142,2013,0,False,I,2.3,US$,10.0,0.0,1221,2232,965,1174,2109,0,False,False,False,False,TC05,2278.0,1.0,0.0,0.0,0.0,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,12.41,Flag: Não Comprar,-9370.0,9370.0,[Baseline > Model],0.0,1283.5,818.02,0.64,ALTO,0.9,1.28,90% de chance de não faltar,1779.7,6075.23,7854.93,9352.35,5683.3999999999905,13071.82,1.0,0.0
T547.50,X001061,VALVULA TERMOSTATICA S/OURO,VALVULAS VT,2880,TCI GLOBAL CORP,A,2.21,A,True,2,5,5,7,Comprar,3011,3700,0,0,6711,17630,1469,4.57,0,3580,3580,7,0,0,2,0.0,1247,35,127,162,3011,0,False,I,3.63,US$,10.0,0.0,1500,1313,1237,1300,1650,0,False,True,False,False,TC02,1760.0,5.0,0.0,1700.0,0.0,ALTA VOLATILIDADE,🔴,🟢,🔴 Risco de Ruptura,14.62,Flag: Não Comprar,-3580.0,3580.0,[Baseline > Model],0.0,1166.67,591.6,0.51,ALTO,0.9,1.28,90% de chance de não faltar,1374.75,6300.02,7674.77,9035.88,1221.5999999999804,4434.41,5.0,0.0
T573.89,X001130,VALVULA TERMOSTATICA S/OURO,VALVULAS VT,2880,TCI GLOBAL CORP,A,1.96,A,True,0,5,5,7,Comprar,73,7045,0,94,7024,15572,1298,5.41,0,2070,2070,7,12,0,2,7.13,912,35,127,162,73,0,False,I,5.1,US$,10.0,0.0,1565,1711,872,1342,1757,0,False,False,False,False,TC02,2005.0,5.0,0.0,1050.0,0.0,ALTA VOLATILIDADE,🔴,🟢,🟢 Estoque Saudável,16.58,Flag: Não Comprar,-2070.0,2070.0,[Baseline > Model],0.0,1207.83,674.09,0.56,ALTO,0.9,1.28,90% de chance de não faltar,1566.44,6522.28,8088.72,9497.86,0.0,0.0,5.0,0.0
T7328,X000540,SENSOR DE VELOCIDADE,SENSOR VELOCIDADE,6523,ABORN,A,1.94,A,True,1,8,8,8,Não Comprar,729,9480,0,54,10155,15454,1288,7.88,0,0,0,8,2,0,801,16.65,1588,35,107,142,729,0,False,I,1.3,US$,10.0,0.0,1071,1581,1078,1309,1313,0,False,False,False,False,TC26,1536.0,8.0,0.0,2620.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,18.52,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,1058.67,551.63,0.52,ALTO,0.9,1.28,90% de chance de não faltar,1200.14,5011.04,6211.18,7446.3,0.0,0.0,8.0,4900.0
T7325,X000537,SENSOR DE VELOCIDADE,SENSOR VELOCIDADE,6523,ABORN,A,1.91,A,True,2,9,9,9,Não Comprar,2302,8820,0,102,11020,15225,1269,8.68,0,0,0,9,0,0,801,27.57,781,35,107,142,2302,0,False,I,1.3,US$,10.0,0.0,1092,1190,599,1341,1237,0,False,False,False,False,TC26,1436.0,9.0,0.0,1770.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,20.43,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,909.83,515.56,0.57,ALTO,0.9,1.28,90% de chance de não faltar,1121.66,4306.53,5428.19,6489.66,0.0,0.0,9.0,5540.0
T7275,X000502,SENSOR TPS,TPS,4863,ZHITESEN,A,1.6,A,True,1,6,6,7,Comprar,838,5800,0,10,6628,12707,1059,6.26,0,790,790,7,0,0,5101,4.86,1130,35,107,142,838,0,False,I,2.5,US$,10.0,0.0,391,647,725,1151,1981,0,False,False,False,False,TC05,1910.0,6.0,1950.0,2330.0,0.0,ALTA VOLATILIDADE,🟡,🟢,🟢 Estoque Saudável,22.03,Flag: Não Comprar,-790.0,790.0,[Baseline > Model],0.0,815.83,685.97,0.84,ALTO,0.9,1.28,90% de chance de não faltar,1492.41,3861.6,5354.01,6305.81,0.0,0.0,6.0,1520.0
T73019,X000512,SENSOR DE VELOCIDADE,SENSOR VELOCIDADE,6523,ABORN,A,1.51,A,True,1,8,8,8,Não Comprar,727,7140,0,0,7867,12027,1002,7.85,0,0,0,8,16,0,5901,10.94,551,35,107,142,727,0,False,I,2.62,US$,10.0,0.0,1177,916,288,1133,1404,0,False,False,False,False,TC26,1541.0,8.0,0.0,2790.0,0.0,ALTA VOLATILIDADE,🟢,🟢,🟢 Estoque Saudável,23.54,Flag: Não Comprar,0.0,0.0,[Model == Baseline],0.0,819.67,553.37,0.68,ALTO,0.9,1.28,90% de chance de não faltar,1203.92,3879.77,5083.69,6039.97,0.0,0.0,8.0,2920.0
