Cod_component,origem,motivo
nan,portal_vendas (script: New 01 Process ABCXYZ),Linha de rodape/invalida
R3000,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3005,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3018,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3029,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3041,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3042,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3046,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3050,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3060,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3088,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R3171,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4000,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4005,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4008,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4014,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4020,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4027,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4034,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4037,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4039,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4046,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4050,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4051,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4053,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4056,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4058,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4067,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4076,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
R4079,portal_vendas (script: New 01 Process ABCXYZ),Nao utiliza componentes importados (T)
