B1_COD,DATA,QTD_VENDA_NACIONAL,RECEITA_VENDA_NACIONAL,QTD_VENDA_EXPORTACAO,RECEITA_VENDA_EXPORTACAO,NAO_ATENDIDOS_REPO,NAO_ATENDIDOS_EXPO
T0911,2024-02-28,0,0,243,16584,0,0.0
T0911,2024-03-08,4,421,0,0,0,0.0
T0911,2024-03-13,12,1335,0,0,0,0.0
T0911,2024-03-14,15,1612,0,0,0,0.0
T0911,2024-03-15,58,6041,0,0,0,0.0
T0911,2024-03-18,44,4884,0,0,0,0.0
T0911,2024-03-19,4,431,215,14899,0,0.0
T0911,2024-03-20,56,6193,0,0,0,0.0
T0911,2024-03-21,57,6187,15,1042,0,0.0
T0911,2024-03-22,54,5515,0,0,0,0.0
T0911,2024-03-25,5,518,10,714,0,0.0
T0911,2024-03-26,71,7366,40,2477,0,0.0
T0911,2024-03-27,58,6307,45,3012,0,0.0
T0911,2024-03-28,112,12656,300,18807,0,0.0
T0911,2024-03-30,66,7093,0,0,0,0.0
T0911,2024-04-01,7,779,0,0,0,0.0
T0911,2024-04-02,27,3029,0,0,0,0.0
T0911,2024-04-03,15,1617,0,0,0,0.0
T0911,2024-04-04,28,3049,0,0,0,0.0
T0911,2024-04-05,23,2448,0,0,0,0.0
T0911,2024-04-08,33,3759,0,0,0,0.0
T0911,2024-04-09,88,9362,104,6558,0,0.0
T0911,2024-04-10,41,4985,0,0,0,0.0
T0911,2024-04-11,11,1158,0,0,0,0.0
T0911,2024-04-12,25,2723,0,0,0,0.0
T0911,2024-04-16,19,1981,11,752,0,0.0
T0911,2024-04-17,52,5612,0,0,0,0.0
T0911,2024-04-18,36,3851,0,0,0,0.0
T0911,2024-04-19,52,5611,0,0,0,0.0
T0911,2024-04-22,87,9291,0,0,0,0.0
