CODIGO_PI,QTD_RESE,QTD_TOT_EST,QTD_TOT_EST_INSP
J7322HM,0,0,0
C1327,0,0,0
C1378,0,0,0
C1379,0,0,0
C1728,0,0,0
C1742,0,0,0
C1758-104,4,0,0
C1758-132,0,0,0
C1777,0,0,0
C19024,0,0,0
C2081,0,0,0
C68.45,0,0,0
C68.98,0,0,0
C71070,0,646,0
C71077,0,931,0
C71104F,0,0,0
C7230,166,1036,0
C7230IF,0,0,0
C7230IN,0,0,0
C7230NA,0,0,0
C7231MM,0,0,0
C7254BM,0,0,0
C7262IN,0,0,0
C7264IN,0,0,0
C736048,0,0,0
C7604SG,0,0,0
C7606,0,191,0
C7609,0,237,0
C8403.40.080,0,14,0
C8408.40.080,0,84,0
