COD_PRODUTO,COD_COMPONENTE,G1_QUANT
C6815.40.025,CN68.4,1.0
C6815.41.040,CHN6815.41.040,1.0
C6815.41.040,CN68.4,1.0
C6815.41.050,CHN6815.41.050,1.0
C6815.41.050,CN68.4,1.0
C6820.40.024,CHN6820.40.024,1.0
C6820.40.024,CN68.4,1.0
C6821.40.024,CN68.4,1.0
C6821.40.030,CHN6821.40.030,1.0
C6821.40.030,CN68.4,1.0
C6821.40.072,CHN6821.40.072,1.0
C6821.40.072,CN68.4,1.0
C6824.40.072,CHN6824.40.072,1.0
C6824.40.072,CN68.4,1.0
C6868.40.030,CN68.4,1.0
C6868.40.060,CHN6868.40.060,1.0
C6868.40.060,CN68.4,1.0
C6884,CHN6884,1.0
C6884,CN68.4,1.0
C71045,TM-141,1.0
C71059,TM-163,1.0
C71069,TM-141,1.0
C71070,TM-141,1.0
C71076,TM-143,1.0
C71077,TM-142,1.0
C71079,TM-167,1.0
C71080,TM-167,1.0
C71081,TM-167,1.0
C71082,TM-115,1.0
C71083,TM-165,1.0
