Fornecedor,cod._Fornecedor,Faturamento_M_nimo
SMART,7080,3000
WINTOM,8461,3000
FAE,2102,6000
FACET,2110,3000
AUTOTEC,6615,3000
HOYA,5355,5000
HLO-CENWAN,7542,3000
OSSCA,5024,3000
WTT WANTAI,7967,3000
FONAN AUTOMOTIVE,7908,3000
NITL - ISHINO,7156,3000
FLY,7909,3000
CUB,5614,3000
ABORN,6523,3000
SKK,4994,3000
HEHUA,7208,3000
SPARKTRONIC,5409,3000
DINGCHENG,8308,3000
ANHUI SHENZHOU (DF),6562,3000
INNOTEQ,4955,3000
ZHITESEN / YANGYU,4863,3000
KEFENG,8479,3000
AUZONE,7119,3000
CADIC,6783,3000
FORIN,7907,3000
HAIYAN DRAGON,6927,3000
CADIC - PANCOAUTO,7701,3000
TCI Global Corp,2880,3000
BOMETEC,8714,5000
Longy,7132,3000
