component,date,stock_quantity
T0911,2024-02-29,256.0
T0911,2024-03-31,1006.0
T0911,2024-04-30,250.0
T0911,2024-05-31,1629.0
T0911,2024-06-30,324.0
T0911,2024-07-31,1439.0
T0911,2024-08-31,696.0
T0911,2024-09-30,3721.0
T0911,2024-10-31,4222.0
T0911,2024-11-30,4246.0
T0911,2024-12-31,3160.0
T0911,2025-01-31,2683.0
T0911,2025-02-28,5699.0
T0911,2025-03-31,1435.0
T0911,2025-04-30,868.0
T0911,2025-05-31,898.0
T0911,2025-06-30,892.0
T0911,2025-07-31,3158.0
T0911,2025-08-31,2614.0
T0911,2025-09-30,2738.0
T0911,2025-10-31,2046.0
T0911,2025-11-30,3463.0
T0911,2025-12-31,2620.0
T0911,2026-01-31,1862.0
T0911,2026-02-28,1862.0
T0911L,2024-02-29,1463.0
T0911L,2024-03-31,1278.0
T0911L,2024-04-30,1089.0
T0911L,2024-05-31,867.0
T0911L,2024-06-30,354.0
