component,description,supp_cod,safety_stock,lt,rp,lt_rp,inventory_level,final_order,demand_lt_rp,transit,inspection,min,max,precision
T73020,SENSOR DE VELOCIDADE,6523,1409,107,35,142,3564,0,0,3330,0,0.0,0.0,high
T7448,MOTOR DE PASSO IAC,4863,3143,107,35,142,6343,0,0,13370,0,0.0,0.0,medium
T7308,SENSOR DE VELOCIDADE,6523,1118,107,35,142,5002,0,0,3080,0,0.0,0.0,medium
T7248,SENSOR TPS,4863,1438,107,35,142,2013,0,0,0,0,0.0,0.0,medium
T547.50,VALVULA TERMOSTATICA S/OURO,2880,1247,127,35,162,3011,0,0,3700,0,0.0,0.0,medium
T573.89,VALVULA TERMOSTATICA S/OURO,2880,912,127,35,162,73,0,0,7045,0,0.0,0.0,high
T7328,SENSOR DE VELOCIDADE,6523,1588,107,35,142,729,0,0,9480,0,0.0,0.0,low
T7325,SENSOR DE VELOCIDADE,6523,781,107,35,142,2302,0,0,8820,0,0.0,0.0,medium
T7275,SENSOR TPS,4863,1130,107,35,142,838,0,0,5800,0,0.0,0.0,medium
T73019,SENSOR DE VELOCIDADE,6523,551,107,35,142,727,0,0,7140,0,0.0,0.0,high
T70020,SENSOR DETONACAO,7908,1338,92,35,127,1680,0,0,5650,0,0.0,0.0,high
T0911,CARCAA PLASTICA P/VT601,2880,1073,127,35,162,1862,0,0,8200,0,0.0,0.0,low
T70316,SENSOR DE ROTACAO,6523,793,107,35,142,158,0,0,6850,0,0.0,0.0,medium
T7441,MOTOR DE PASSO IAC,4863,492,107,35,142,2498,0,0,5020,0,0.0,0.0,high
T70577,SENSOR DE FASE,6523,725,107,35,142,293,0,0,6020,0,0.0,0.0,medium
T569.92,VALVULA TERMOSTATICA S/OURO,2880,280,127,35,162,5488,0,0,0,0,0.0,0.0,low
T7427,VALV. M.L. - IACV,4863,553,107,35,142,1593,0,0,4460,0,0.0,0.0,medium
T70305,SENSOR DE ROTACAO,6523,562,107,35,142,1239,0,0,5320,0,0.0,0.0,medium
T7447,MOTOR DE PASSO IAC,4863,274,107,35,142,5289,0,0,3730,0,0.0,0.0,high
T7004,SENSOR DETONACAO,7909,772,92,35,127,1131,0,0,3660,0,0.0,0.0,high
T483.82,VALVULA TERMOSTATICA S/OURO,2880,722,127,35,162,5,0,0,6250,0,0.0,0.0,low
T0912L,CARCACA DE ALUMINIO,2880,1352,127,35,162,59,0,0,7910,0,0.0,0.0,medium
T7444,MOTOR DE PASSO IAC,4863,500,107,35,142,692,0,0,3570,0,0.0,0.0,medium
T7439,MOTOR DE PASSO IAC,4863,420,107,35,142,1440,0,0,3550,0,0.0,0.0,low
T71061,SENSOR MAP,4994,257,88,35,123,1279,0,0,3330,0,0.0,0.0,low
T70436,SENSOR DE ROTACAO,6523,553,107,35,142,169,0,0,3570,0,0.0,0.0,medium
T70558,SENSOR DE FASE,6523,241,107,35,142,2808,0,0,3530,0,0.0,0.0,medium
T73026,SENSOR DE VELOCIDADE,6523,393,107,35,142,246,0,0,3850,0,0.0,0.0,low
T71050,SENSOR MAP,4994,325,88,35,123,-2592,1090,0,2040,0,1035.5,1144.5,medium
T7489,MOTOR DE PASSO IAC,4863,113,107,35,142,3313,0,0,2970,0,0.0,0.0,high
