Component,Description,Group_code,Group_name,Supp_Cod,Supplier,Cod_X,ABC,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Lost_12M,Unfulfilled_12M,KanBan_Min,KanBan_Max,Order_sug,Final_order,Total_Stock_Sales_12M,Order_sug_Sales_12M,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,base_month,base_date
T0911,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000929,A,4146.0,5600.0,0,12,9734.0,11101,0.0,10,nan,4801,0,0,87.68579407260607,0.0,56.24718493829385,1147,35,127,162,4146.0,2511,False,I,6.23,US$,10,0.0,2026-02-01,2026-02-28
T0911L,CARCACA DE ALUMINIO P/VT601,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001080,A,68.0,1770.0,0,148,1690.0,3535,0.0,5,nan,1401,10,10,47.80763790664781,0.2828854314002829,23.705799151343708,506,35,127,162,68.0,1188,False,I,9.07,US$,10,90.7,2026-02-01,2026-02-28
T0912L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000923,A,2035.0,5930.0,0,0,7965.0,7119,0.0,0,nan,3001,0,0,111.88369152970922,0.0,6.700379266750948,1276,35,127,162,2035.0,3157,False,I,7.28,US$,10,0.0,2026-02-01,2026-02-28
T0914L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001129,A,525.0,2470.0,0,0,2995.0,5097,0.0,2,nan,2101,160,160,58.76005493427506,3.139101432215029,1.353737492642731,585,35,127,162,525.0,2564,False,I,1.84,US$,10,294.40000000000003,2026-02-01,2026-02-28
T0922,TUBO REFRIGERACAO PLASTICO,TUB1,TUBO REFRIGERACAO PLASTICO,2880,TCI GLOBAL CORP,X000944,A,858.0,100.0,0,0,958.0,193,0.0,0,nan,61,0,0,496.3730569948186,0.0,80.31088082901555,17,35,127,162,858.0,50,False,I,1.82,US$,1,0.0,2026-02-01,2026-02-28
T0922L,TUBO REFRIGERACAO MT / AL,TUB2,TUBO REFRIGERACAO MT / AL,2880,TCI GLOBAL CORP,X001270,A,68.0,1770.0,0,148,1690.0,3535,0.0,5,nan,1401,0,0,47.80763790664781,0.0,23.705799151343708,423,35,127,162,68.0,1188,False,I,4.12,US$,1,0.0,2026-02-01,2026-02-28
T0923,CARCAA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001079,A,552.0,1870.0,0,0,2422.0,3697,0.0,0,nan,241,0,0,65.51257776575602,0.0,1.9745739789018124,528,35,127,162,552.0,1733,False,I,8.6,US$,10,0.0,2026-02-01,2026-02-28
T0924,TUBO REFRIGERACAO MT / AL,TUB2,TUBO REFRIGERACAO MT / AL,2880,TCI GLOBAL CORP,X001138,A,295.0,0.0,0,0,295.0,40,0.0,0,nan,7,0,0,737.5,0.0,37.5,16,35,127,162,295.0,5,False,I,4.09,US$,1,0.0,2026-02-01,2026-02-28
T0925,TUBO REFRIGERACAO PLASTICO,TUB1,TUBO REFRIGERACAO PLASTICO,2880,TCI GLOBAL CORP,X001139,A,372.0,0.0,0,0,372.0,22,0.0,0,nan,11,0,0,1690.909090909091,0.0,68.18181818181817,7,35,127,162,372.0,14,False,I,1.88,US$,1,0.0,2026-02-01,2026-02-28
T0926,TUBO REFRIGERACAO PLASTICO,TUB1,TUBO REFRIGERACAO PLASTICO,2880,TCI GLOBAL CORP,X001140,A,3.0,0.0,0,0,3.0,5,0.0,0,nan,6,6,6,60.0,120.0,0.0,5,35,127,162,3.0,4,False,I,1.88,US$,1,11.28,2026-02-01,2026-02-28
T0927,CARCACA PLASTICA P/ VT431.82,TC02,VALVULAS VT,5024,OSSCA,X001152,A,136.0,150.0,0,0,286.0,306,0.0,0,nan,151,0,0,93.4640522875817,0.0,9.803921568627452,107,35,127,162,136.0,114,False,I,5.99,US$,10,0.0,2026-02-01,2026-02-28
T0928L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001239,A,126.0,60.0,0,0,186.0,119,0.0,0,nan,81,0,0,156.30252100840337,0.0,0.0,12,35,127,162,126.0,48,False,I,5.74,US$,10,0.0,2026-02-01,2026-02-28
T0929,CARCACA PLASTICA,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001241,A,212.0,470.0,0,57,625.0,854,0.0,0,nan,301,0,0,73.18501170960188,0.0,53.278688524590166,43,35,127,162,212.0,193,False,I,1.86,US$,10,0.0,2026-02-01,2026-02-28
T0930L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001250,A,312.0,600.0,0,20,892.0,1184,0.0,0,nan,501,0,0,75.33783783783784,0.0,24.493243243243242,126,35,127,162,312.0,472,False,I,6.28,US$,10,0.0,2026-02-01,2026-02-28
T0931,TUBO REFRIGERACAO PLASTICO,TUB1,TUBO REFRIGERACAO PLASTICO,2880,TCI GLOBAL CORP,X001259,A,94.0,0.0,0,0,94.0,7,0.32602739726027397,0,nan,21,0,0,1342.857142857143,0.0,100.0,13,35,127,162,94.0,4,False,I,2.1,US$,1,0.0,2026-02-01,2026-02-28
T0932,CARCACA PLµSTICO,TC02,VALVULAS VT,5024,OSSCA,X001543,A,227.0,220.0,0,0,447.0,453,0.0,0,nan,201,0,0,98.67549668874173,0.0,0.0,18,35,127,162,227.0,110,False,I,4.74,US$,10,0.0,2026-02-01,2026-02-28
T0933L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001646,A,21.0,90.0,0,0,111.0,197,0.5397260273972603,0,10.0,100,0,0,56.34517766497462,0.0,1.5228426395939088,3,35,127,162,21.0,74,False,I,14.1,US$,10,0.0,2026-02-01,2026-02-28
T0934L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001647,A,36.0,280.0,0,0,316.0,660,5.424657534246575,0,20.0,200,0,0,47.878787878787875,0.0,0.45454545454545453,38,35,127,162,36.0,194,False,I,7.47,US$,10,0.0,2026-02-01,2026-02-28
T0935L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000164,A,50.0,60.0,0,0,110.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,7,35,127,162,50.0,50,False,I,5.88,US$,10,0.0,2026-02-01,2026-02-28
T0937,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,5024,OSSCA,X001950,A,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,35,127,162,0.0,0,False,I,1.25,US$,10,0.0,2026-02-01,2026-02-28
