B1_COD,DTA_LANCAMENTO,QTD_LANCADA
J236.87,2025-01-06,-61
J236.87,2025-01-07,61
J236.87,2025-02-06,-2
J236.87,2025-02-26,-1
J236.87,2025-03-06,-2
J236.87,2025-03-18,-5
J236.87,2025-03-19,5
J236.87,2025-04-01,-53
J236.87,2025-04-02,-3
J236.87,2025-12-06,24
J236.90,2024-11-12,0
J236.90,2025-03-29,19
J236.90,2025-03-31,-20
J236.90,2025-04-01,20
J236.90,2025-04-05,-20
J236.90,2025-04-07,20
J236.90,2025-04-10,0
J236.90,2025-04-15,-20
J236.90,2025-07-14,20
J236.90,2025-07-23,-14
J237.81,2024-03-05,-10
J237.81,2024-05-29,-10
J237.81,2024-07-17,-10
J237.81,2024-07-26,-22
J237.81,2024-09-13,-10
J237.81,2024-10-22,-25
J237.81,2024-11-01,70
J237.81,2025-01-06,-43
J237.81,2025-01-07,43
J237.81,2025-01-09,8
