Cod_Produto,Cod_Fornecedor,Cod_X,Ativo,Excecao,Sob_Demanda,In_Inventory_Histories,B1_COD,B1_DESC,B1_GRUPO,NOM_GRUP,ORIGEM,B1_ATIVO,MULTIPLO_COMPRA,DTA_CADASTRO,CURVA,PRECO_VENDA_BRL,PRECO_VENDA_USD,PRECO_VENDA_EUR,KANBAN_MIN,KANBAN_MAX
T0911,2880,X000929,True,False,False,True,T0911,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,I,S,10.0,2017-11-01,A,161.08,17.92,15.61,nan,4801.0
T0912L,2880,X000923,True,False,False,True,T0912L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,I,S,10.0,2017-09-28,A,211.2,22.36,22.51,nan,3001.0
T322.88,2880,X000032,True,False,False,True,T322.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-12,A,249.32,24.51,18.41,nan,151.0
T323.88,2880,X000033,True,False,False,True,T323.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-12,A,249.32,24.51,18.4,nan,201.0
T3245,6615,X000865,True,False,False,True,T3245,SENSOR DE TEMPERATURA,3000,SENSORES,I,S,10.0,2014-05-12,A,37.63,2.5,2.14,nan,1001.0
T355.82,2880,X000052,True,False,False,True,T355.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-12,A,75.04,9.69,7.61,nan,61.0
T368.88,2880,X000054,True,False,False,True,T368.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-12,A,187.11,60.06,19.25,nan,101.0
T375.88,2880,X000056,True,False,False,True,T375.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-12,A,49.93,4.97,4.9,nan,71.0
T378.88,2880,X000059,True,False,False,True,T378.88,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-12,A,47.24,4.23,4.9,nan,71.0
T4098,2102,X000073,True,False,False,True,T4098,PLUG ELETRONICO,3001,PLUG ELETRONICO,I,S,10.0,2014-05-12,A,92.23,16.59,4.32,nan,11.0
T4249,7909,X000981,True,False,False,True,T4249,PLUG ELETRONICO,3001,PLUG ELETRONICO,I,S,10.0,2018-10-09,A,32.36,2.93,2.93,nan,1101.0
T4250,7542,X000982,True,False,False,True,T4250,PLUG ELETRONICO,3001,PLUG ELETRONICO,I,S,10.0,2018-10-09,A,60.07,6.24,6.24,nan,71.0
T4260,7909,X000955,True,False,False,True,T4260,PLUG ELETRONICO,3001,PLUG ELETRONICO,I,S,10.0,2018-05-23,A,34.09,3.9,3.69,nan,11.0
T432.83,5024,X000085,True,False,False,True,T432.83,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-12,A,123.22,12.0,31.92,nan,2.0
T443.71,2880,X000086,False,False,True,True,T443.71,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2015-01-12,A,0.0,0.0,0.0,nan,2.0
T443.82,2880,X000087,True,False,False,True,T443.82,VALVULA TERMOSTATICA S/OURO,TC02,VALVULAS VT,I,S,10.0,2014-05-12,A,68.54,5.25,5.01,nan,2.0
