COD_MTE_COMP,DATA_PEDIDO,QTDE_PEDIDA,QTDE_SALDO,QTDE_ENTREGUE,VALOR_UNITARIO,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO
R5064,2021-01-01,0,0,0,0.0,0.0,0.0,0.0
R5064,2021-01-01,4,0,4,26.14,104.56,0.0,104.56
R5064,2021-01-01,2,0,2,30.62,61.29,0.0,61.29
R5064,2021-01-01,2,0,2,23.24,46.49,0.0,46.49
R5064,2021-01-01,1,0,1,23.24,23.24,0.0,23.24
R5064,2021-01-01,1,0,1,26.14,26.14,0.0,26.14
R5064,2021-01-01,1,0,1,26.14,26.14,0.0,26.14
R5064,2021-01-01,0,0,0,26.14,0.0,0.0,0.0
R5064,2021-01-01,1,0,1,23.96,23.96,0.0,23.96
R5064,2021-01-01,0,0,0,23.96,0.0,0.0,0.0
R5064,2021-01-01,0,0,0,23.96,0.0,0.0,0.0
R5064,2021-01-01,1,0,1,23.61,23.61,0.0,23.61
R5064,2021-01-01,0,0,0,23.61,0.0,0.0,0.0
R5064,2021-01-01,1,0,1,23.61,23.61,0.0,23.61
R5064,2021-01-01,0,0,0,23.61,0.0,0.0,0.0
R5064,2021-01-01,0,0,0,23.61,0.0,0.0,0.0
R5064,2021-01-01,1,0,1,23.61,23.61,0.0,23.61
R5064,2021-01-01,1,0,1,26.14,26.14,0.0,26.14
R5064,2021-01-01,1,0,1,26.14,26.14,0.0,26.14
R5064,2021-01-01,4,0,4,25.36,101.42,0.0,101.42
R5064,2021-01-01,1,0,1,22.44,22.44,0.0,22.44
R5064,2021-01-01,2,0,2,22.9,45.8,0.0,45.8
R5064,2021-01-01,2,0,2,22.9,45.8,0.0,45.8
R5064,2021-01-01,0,0,0,22.9,0.0,0.0,0.0
R5064,2021-01-01,1,0,1,26.14,26.14,0.0,26.14
R5064,2021-01-01,0,0,0,26.14,0.0,0.0,0.0
R5064,2021-01-01,0,0,0,26.14,0.0,0.0,0.0
R5064,2021-01-01,6,0,6,22.9,137.41,0.0,137.41
R5064,2021-01-01,1,0,1,22.9,22.9,0.0,22.9
R5064,2021-01-01,1,0,1,22.9,22.9,0.0,22.9
