date,Componente,QTD_ESTOQUE
2024-02-23,T0931,80.0
2024-02-24,T0931,80.0
2024-02-25,T0931,80.0
2024-02-26,T0931,80.0
2024-02-27,T0931,80.0
2024-02-28,T0931,80.0
2024-02-29,T0931,80.0
2024-03-01,T0931,80.0
2024-03-02,T0931,80.0
2024-03-03,T0931,80.0
2024-03-04,T0931,80.0
2024-03-05,T0931,80.0
2024-03-06,T0931,80.0
2024-03-07,T0931,80.0
2024-03-08,T0931,80.0
2024-03-09,T0931,80.0
2024-03-10,T0931,80.0
2024-03-11,T0931,80.0
2024-03-12,T0931,80.0
2024-03-13,T0931,80.0
2024-03-14,T0931,80.0
2024-03-15,T0931,80.0
2024-03-16,T0931,80.0
2024-03-17,T0931,80.0
2024-03-18,T0931,80.0
2024-03-19,T0931,80.0
2024-03-20,T0931,80.0
2024-03-21,T0931,80.0
2024-03-22,T0931,80.0
2024-03-23,T0931,80.0
