Component,Description,Group_code,Group_name,Supp_Cod,Supplier,Cod_X,ABC,Stock,Transit,Inspection,Reserved,Total_Stock,Sales_12M,Lost_12M,Unfulfilled_12M,KanBan_Min,KanBan_Max,Order_sug,Final_order,Total_Stock_Sales_12M,Order_sug_Sales_12M,%_Export_12M,Safety_stock,RP,LT,LT+RP,Inventory_level,Demand_(LT+RP),On_demand,Origin,Cost,Currency,Multiplier,Total_Cost,base_month,base_date
T0911,CARCAA PLASTICA P/VT601,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000929,A,4146.0,5600,0,12,9734.0,0,0.0,0.0,nan,4801,0.0,0.0,nan,nan,0,34425.0,35,127,162,4146.0,41191,False,I,6.23,US$,10.0,0.0,2026-02-01,2026-02-28
T0911L,CARCACA DE ALUMINIO P/VT601,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001080,A,68.0,1770,0,148,1690.0,0,0.0,0.0,nan,1401,0.0,0.0,nan,nan,0,15208.0,35,127,162,68.0,4418,False,I,9.07,US$,10.0,0.0,2026-02-01,2026-02-28
T0912L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X000923,A,2035.0,5930,0,0,7965.0,0,0.0,0.0,nan,3001,0.0,0.0,nan,nan,0,38297.0,35,127,162,2035.0,28602,False,I,7.28,US$,10.0,0.0,2026-02-01,2026-02-28
T0913L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,<NA>,<NA>,<NA>,A,10598.0,0,0,0,10598.0,0,0.0,0.0,nan,2,0.0,0.0,nan,nan,0,nan,35,100,135,10598.0,0,False,I,nan,<NA>,nan,nan,2026-02-01,2026-02-28
T0914L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001129,A,525.0,2470,0,0,2995.0,0,0.0,0.0,nan,2101,0.0,0.0,nan,nan,0,17574.0,35,127,162,525.0,1003,False,I,1.84,US$,10.0,0.0,2026-02-01,2026-02-28
T0922,TUBO REFRIGERACAO PLASTICO,TUB1,TUBO REFRIGERACAO PLASTICO,2880,TCI GLOBAL CORP,X000944,A,858.0,100,0,0,958.0,0,0.0,0.0,nan,61,0.0,0.0,nan,nan,0,536.0,35,127,162,858.0,-191,False,I,1.82,US$,1.0,0.0,2026-02-01,2026-02-28
T0922L,TUBO REFRIGERACAO MT / AL,TUB2,TUBO REFRIGERACAO MT / AL,2880,TCI GLOBAL CORP,X001270,A,68.0,1770,0,148,1690.0,0,0.0,0.0,nan,1401,0.0,0.0,nan,nan,0,12715.0,35,127,162,68.0,4418,False,I,4.12,US$,1.0,0.0,2026-02-01,2026-02-28
T0923,CARCAA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001079,A,552.0,1870,0,0,2422.0,0,0.0,0.0,nan,241,0.0,0.0,nan,nan,0,15863.0,35,127,162,552.0,3528,False,I,8.6,US$,10.0,0.0,2026-02-01,2026-02-28
T0924,TUBO REFRIGERACAO MT / AL,TUB2,TUBO REFRIGERACAO MT / AL,2880,TCI GLOBAL CORP,X001138,A,295.0,0,0,0,295.0,0,0.0,0.0,nan,7,0.0,0.0,nan,nan,0,495.0,35,127,162,295.0,189,False,I,4.09,US$,1.0,0.0,2026-02-01,2026-02-28
T0925,TUBO REFRIGERACAO PLASTICO,TUB1,TUBO REFRIGERACAO PLASTICO,2880,TCI GLOBAL CORP,X001139,A,372.0,0,0,0,372.0,0,0.0,0.0,nan,11,0.0,0.0,nan,nan,0,239.0,35,127,162,372.0,6,False,I,1.88,US$,1.0,0.0,2026-02-01,2026-02-28
T0926,TUBO REFRIGERACAO PLASTICO,TUB1,TUBO REFRIGERACAO PLASTICO,2880,TCI GLOBAL CORP,X001140,A,3.0,0,0,0,3.0,0,0.0,0.0,nan,6,0.0,0.0,nan,nan,0,172.0,35,127,162,3.0,28,False,I,1.88,US$,1.0,0.0,2026-02-01,2026-02-28
T0927,CARCACA PLASTICA P/ VT431.82,TC02,VALVULAS VT,5024,OSSCA,X001152,A,136.0,150,0,0,286.0,0,0.0,0.0,nan,151,0.0,0.0,nan,nan,0,3218.0,35,127,162,136.0,851,False,I,5.99,US$,10.0,0.0,2026-02-01,2026-02-28
T0928L,CARCACA DE ALUMINIO,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001239,A,126.0,60,0,0,186.0,0,0.0,0.0,nan,81,0.0,0.0,nan,nan,0,367.0,35,127,162,126.0,-41,False,I,5.74,US$,10.0,0.0,2026-02-01,2026-02-28
T0929,CARCACA PLASTICA,TC02,VALVULAS VT,2880,TCI GLOBAL CORP,X001241,A,212.0,470,0,57,625.0,0,0.0,0.0,nan,301,0.0,0.0,nan,nan,0,1298.0,35,127,162,212.0,1057,False,I,1.86,US$,10.0,0.0,2026-02-01,2026-02-28
