COD_MTE_COMP,MONTH,QTDE_PEDIDA,QTDE_SALDO,QTDE_ENTREGUE,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO
K20012,2021-01-01,4,0,4,417.37,0.0,417.37
K20012,2021-02-01,6,5,1,96.5,509.88,606.38
K20012,2021-03-01,6,0,6,629.4,0.0,629.4
K20012,2021-04-01,14,0,14,1175.23,0.0,1175.23
K20012,2021-05-01,2,0,2,230.15,0.0,230.15
K20012,2021-06-01,3,0,3,358.56,0.0,358.56
K20012,2021-07-01,2,0,2,228.44,0.0,228.44
K20012,2021-08-01,16,0,16,1407.41,0.0,1407.41
K20012,2021-09-01,0,0,0,0.0,0.0,0.0
K20012,2021-10-01,7,1,6,472.78,124.5,597.28
K20012,2021-11-01,16,0,16,1342.44,0.0,1342.44
K20012,2021-12-01,6,4,2,249.0,498.0,747.0
K20012,2022-01-01,0,0,0,0.0,0.0,0.0
K20012,2022-02-01,0,0,0,0.0,0.0,0.0
K20012,2022-03-01,8,0,8,1030.6799999999998,0.0,1030.6799999999998
K20012,2022-04-01,6,0,6,447.84,0.0,447.84
K20012,2022-05-01,12,0,12,963.1400000000001,0.0,963.1400000000001
K20012,2022-06-01,5,0,5,648.3199999999999,0.0,648.3199999999999
K20012,2022-07-01,16,0,16,2119.68,0.0,2119.68
K20012,2022-08-01,2,0,2,274.34,0.0,274.34
K20012,2022-09-01,13,0,13,1405.02,0.0,1405.02
K20012,2022-10-01,4,0,4,510.24000000000007,0.0,510.24000000000007
K20012,2022-11-01,12,0,12,1580.3899999999999,0.0,1580.3899999999999
K20012,2022-12-01,0,0,0,0.0,0.0,0.0
K20012,2023-01-01,6,0,6,516.93,0.0,516.93
K20012,2023-02-01,11,0,11,1175.84,0.0,1175.84
K20012,2023-03-01,3,0,3,394.15999999999997,0.0,394.15999999999997
K20012,2023-04-01,13,0,13,1761.1299999999999,0.0,1761.1299999999999
K20012,2023-05-01,37,7,30,2084.73,968.83,3053.56
K20012,2023-06-01,4,3,1,70.63,394.56,465.19
