DATA_PEDIDO,Component,base_date,consumption_predicted_month,classe_abc,classe_xyz,classe_abc_xyz
2021-01-01,T0911,2026-02-01,1031.0,A,X,AX
2021-01-01,T0911L,2026-02-01,307.0,A,Y,AY
2021-01-01,T0912L,2026-02-01,3156.0,A,Y,AY
2021-01-01,T0914L,2026-02-01,0.0,A,Y,AY
2021-01-01,T0922,2026-02-01,0.0,C,Z,CZ
2021-01-01,T0922L,2026-02-01,307.0,A,Y,AY
2021-01-01,T0923,2026-02-01,108.0,A,Y,AY
2021-01-01,T0924,2026-02-01,0.0,C,Z,CZ
2021-01-01,T0925,2026-02-01,0.0,C,Z,CZ
2021-01-01,T0926,2026-02-01,0.0,C,Z,CZ
2021-01-01,T0927,2026-02-01,0.0,B,Z,BZ
2021-01-01,T0928L,2026-02-01,0.0,C,Z,CZ
2021-01-01,T0929,2026-02-01,0.0,B,Z,BZ
2021-01-01,T0930L,2026-02-01,0.0,B,Z,BZ
2021-01-01,T0931,2026-02-01,0.0,C,Z,CZ
2021-01-01,T0932,2026-02-01,0.0,B,Z,BZ
2021-01-01,T0933L,2026-02-01,0.0,C,Z,CZ
2021-01-01,T0934L,2026-02-01,0.0,B,Z,BZ
2021-01-01,T0935L,2026-02-01,0.0,C,X,CX
2021-01-01,T3133,2026-02-01,0.0,C,Z,CZ
2021-01-01,T3137,2026-02-01,0.0,C,Z,CZ
2021-01-01,T3142,2026-02-01,0.0,C,Z,CZ
2021-01-01,T3146,2026-02-01,0.0,C,Z,CZ
2021-01-01,T3147,2026-02-01,1.0,C,Z,CZ
2021-01-01,T3148,2026-02-01,0.0,C,Z,CZ
2021-01-01,T3153,2026-02-01,0.0,C,Z,CZ
2021-01-01,T3154,2026-02-01,0.0,C,Z,CZ
2021-01-01,T3156,2026-02-01,1.0,C,Z,CZ
2021-01-01,T3164,2026-02-01,0.0,C,Z,CZ
2021-01-01,T3168,2026-02-01,0.0,C,Z,CZ
