DATA_PEDIDO,COD_MTE_COMP,QTDE_PEDIDA,base_date,classe_abc,classe_xyz,classe_abc_xyz
2021-01-01,K20012,4.0,2026-02-01,C,Z,CZ
2021-02-01,K20012,6.0,2026-02-01,C,Z,CZ
2021-03-01,K20012,6.0,2026-02-01,C,Z,CZ
2021-04-01,K20012,14.0,2026-02-01,C,Z,CZ
2021-05-01,K20012,2.0,2026-02-01,C,Z,CZ
2021-06-01,K20012,3.0,2026-02-01,C,Z,CZ
2021-07-01,K20012,2.0,2026-02-01,C,Z,CZ
2021-08-01,K20012,16.0,2026-02-01,C,Z,CZ
2021-09-01,K20012,0.0,2026-02-01,C,Z,CZ
2021-10-01,K20012,7.0,2026-02-01,C,Z,CZ
2021-11-01,K20012,16.0,2026-02-01,C,Z,CZ
2021-12-01,K20012,6.0,2026-02-01,C,Z,CZ
2022-01-01,K20012,0.0,2026-02-01,C,Z,CZ
2022-02-01,K20012,0.0,2026-02-01,C,Z,CZ
2022-03-01,K20012,8.0,2026-02-01,C,Z,CZ
2022-04-01,K20012,6.0,2026-02-01,C,Z,CZ
2022-05-01,K20012,12.0,2026-02-01,C,Z,CZ
2022-06-01,K20012,5.0,2026-02-01,C,Z,CZ
2022-07-01,K20012,16.0,2026-02-01,C,Z,CZ
2022-08-01,K20012,2.0,2026-02-01,C,Z,CZ
2022-09-01,K20012,13.0,2026-02-01,C,Z,CZ
2022-10-01,K20012,4.0,2026-02-01,C,Z,CZ
2022-11-01,K20012,12.0,2026-02-01,C,Z,CZ
2022-12-01,K20012,0.0,2026-02-01,C,Z,CZ
2023-01-01,K20012,6.0,2026-02-01,C,Z,CZ
2023-02-01,K20012,11.0,2026-02-01,C,Z,CZ
2023-03-01,K20012,3.0,2026-02-01,C,Z,CZ
2023-04-01,K20012,13.0,2026-02-01,C,Z,CZ
2023-05-01,K20012,37.0,2026-02-01,C,Z,CZ
2023-06-01,K20012,4.0,2026-02-01,C,Z,CZ
