COD_MTE_COMP,MONTH,QTDE_PEDIDA,QTDE_SALDO,QTDE_ENTREGUE,VALOR_FATURADO,VALOR_SALDO,VALOR_PEDIDO
K20012,2024-03-01,6.0,6.0,0.0,0.0,837.03,837.03
K20012,2024-04-01,11.0,3.0,8.0,796.48,424.89,1221.37
K20012,2024-05-01,5.0,4.0,1.0,141.63,543.24,684.87
K20012,2024-06-01,26.0,4.0,22.0,1876.49,566.52,2443.01
K20012,2024-07-01,4.0,4.0,0.0,0.0,534.74,534.74
K20012,2024-08-01,15.0,0.0,15.0,1476.31,0.0,1476.31
K20012,2024-09-01,1.0,0.0,1.0,141.63,0.0,141.63
K20012,2024-10-01,5.0,0.0,5.0,708.15,0.0,708.15
K20012,2024-11-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2024-12-01,21.0,0.0,21.0,1795.5500000000002,0.0,1795.5500000000002
K20012,2025-01-01,23.0,3.0,20.0,1565.66,416.39,1982.0500000000002
K20012,2025-02-01,8.0,1.0,7.0,961.66,141.63,1103.29
K20012,2025-03-01,3.0,0.0,3.0,454.62,0.0,454.62
K20012,2025-04-01,2.0,0.0,2.0,298.53,0.0,298.53
K20012,2025-05-01,10.0,0.0,10.0,1436.0900000000001,0.0,1436.0900000000001
K20012,2025-06-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2025-07-01,2.0,2.0,0.0,0.0,293.98,293.98
K20012,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2025-09-01,2.0,0.0,2.0,293.98,0.0,293.98
K20012,2025-10-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2025-11-01,3.0,2.0,1.0,139.08,303.08,442.16
K20012,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0
K20012,2026-01-01,2.0,0.0,2.0,303.08,0.0,303.08
K20012,2026-02-01,2.0,0.0,2.0,293.98,0.0,293.98
K20013,2024-03-01,282.0,71.0,211.0,15145.49,10528.82,25674.309999999998
K20013,2024-04-01,128.0,70.0,58.0,6219.55,10365.02,16584.57
K20013,2024-05-01,203.0,102.0,101.0,12718.74,15133.76,27852.5
K20013,2024-06-01,603.0,22.0,581.0,46989.46,3271.8399999999997,50261.299999999996
K20013,2024-07-01,387.0,68.0,319.0,25797.58,10063.9,35861.479999999996
K20013,2024-08-01,183.0,6.0,177.0,17439.07,855.6600000000001,18316.68
