COD_PRODUTO,COD_COMPONENTE,G1_QUANT
K20012,T0911,1.0
K20013,T0911,2.0
K20034,T0912L,1.0
K20035,T0912L,1.0
K20036,T0911L,1.0
K20036,T0922L,1.0
K20037,T0911L,1.0
K20037,T0922L,1.0
K20045,T475.95,1.0
K20045,T476.80,1.0
K20048,T0923,1.0
K20049,T547.50,1.0
K20051,T0923,1.0
K20054,T574.89,1.0
K20055,T575.90,3.0
K20056,T0927,1.0
K20057,T0925,1.0
K20058,T0926,1.0
K20059,T0926,1.0
K20060,T0924,1.0
K20061,T0924,1.0
K20062,T0928L,1.0
K20063,T593.92,1.0
K20065,T0931,1.0
K20066,T0931,1.0
K20068,T649.90,1.0
K20069,T581.95,1.0
K20070,T547.50,1.0
K20070,T593.92,1.0
K20071,T659.80/95,1.0
