PRODUTO,DESCRICAO,QUANT_BO,DT_ENTREGA
R79525,BOBINA DE IGNICAO,3,2025-10-29
R7954,BOBINA DE IGNICAO,4,2025-10-24
R79549,BOBINA DE IGNICAO,150,2025-11-28
R79565,BOBINA DE IGNICAO,10,2026-02-10
R7960,BOBINA DE IGNICAO,1,2025-10-29
R7961,BOBINA DE IGNICAO,20,2025-10-24
R7962,BOBINA DE IGNICAO,2,2025-11-14
R7976,BOBINA DE IGNICAO,4,2025-11-14
R7979,BOBINA DE IGNICAO,1,2025-10-29
R7986,BOBINA DE IGNICAO,12,2025-10-24
R7988,BOBINA DE IGNICAO,15,2026-01-20
R7989,BOBINA DE IGNICAO,200,2025-11-28
R7992,BOBINA DE IGNICAO,10,2025-10-24
R7994,BOBINA DE IGNICAO,40,2025-11-10
R7995,BOBINA DE IGNICAO,3,2025-03-14
R7995,BOBINA DE IGNICAO,3,2025-04-04
R7995,BOBINA DE IGNICAO,5,2025-04-21
R7995,BOBINA DE IGNICAO,400,2025-04-30
R7506,CORPO DE BORBOLETA,5,2025-03-14
R7508,CORPO DE BORBOLETA,5,2026-02-10
R7513,CORPO DE BORBOLETA,5,2026-02-10
R814,INTERRUPTOR DE TEMPERATURA,50,2025-02-17
R814,INTERRUPTOR DE TEMPERATURA,30,2025-04-09
R814,INTERRUPTOR DE TEMPERATURA,30,2025-10-29
R850,INTERRUPTOR DE TEMPERATURA,13,2025-10-29
R860,INTERRUPTOR DE TEMPERATURA,1,2026-01-23
R871,INTERRUPTOR DE TEMPERATURA,50,2025-10-29
R872,INTERRUPTOR DE TEMPERATURA,5,2025-03-18
R872,INTERRUPTOR DE TEMPERATURA,5,2025-04-04
R872,INTERRUPTOR DE TEMPERATURA,50,2025-04-09
