PRODUTO,COD_FORNE,FORNEC_NOM,COD_FABRI,MOEDA,CUSTO_PRODUTO,PTAX,COD_PROD_FOR
nan,8308.0,DINGCHENG,8308.0,USD,0.0,0.0,AFS085
nan,14073.0,RUIAN MINGJUE,14073.0,US$,25.0,0.0,MG-377
nan,14451.0,BEWIN,14073.0,US$,25.0,0.0,MG-377
C019024,nan,MTE-THOMSON,nan,R$,0.0,1.0,C019024
C10000,nan,MTE-THOMSON,nan,R$,0.0,1.0,C10000
C1300,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1300
C1301,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1301
C1302,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1302
C1304,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1304
C1306,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1306
C1308,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1308
C1311,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1311
C1312,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1312
C1313,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1313
C1314,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1314
C1316,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1316
C1317,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1317
C1318,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1318
C1319,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1319
C1320,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1320
C1323,nan,MTE-THOMSON,nan,R$,0.45,1.0,C1323
C1324,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1324
C1325,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1325
C1327,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1327
C1329,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1329
C1330,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1330
C1331,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1331
C1332,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1332
C1333,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1333
C1334,nan,MTE-THOMSON,nan,R$,0.0,1.0,C1334
