Cod_Produto,Cod_Fornecedor,Cod_X
T0911,2880,X000929
T0912L,2880,X000923
T322.88,2880,X000032
T323.88,2880,X000033
T3245,6615,X000865
T355.82,2880,X000052
T368.88,2880,X000054
T375.88,2880,X000056
T378.88,2880,X000059
T4098,2102,X000073
T4249,7909,X000981
T4250,7542,X000982
T4260,7909,X000955
T432.83,5024,X000085
T443.71,2880,X000086
T443.82,2880,X000087
T451.71,2880,X000088
T451.76,2880,X000089
T471.80/87,2880,X000956
T471.93/88,2880,X000947
T474.95,2880,X000901
T475.95,2880,X000902
T476.80,2880,X000904
T476.87,2880,X000903
T477.87,2880,X000890
T478.105,2880,X000893
T479.82,2880,X000877
T480.78,13443,X000864
T481.87,2880,X000867
T482.80,2880,X000894
