B1_COD,B1_DESC,B1_GRUPO,NOM_GRUP,ORIGEM,B1_ATIVO,MULTIPLO_COMPRA,DTA_CADASTRO,CURVA,PRECO_VENDA_BRL,PRECO_VENDA_USD,PRECO_VENDA_EUR,KANBAN_MIN,KANBAN_MAX
C019024,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-29,A,0.0,0.0,0.0,0.0,0
C10000,SENSOR TEMPERATURA,C014,PRODUTO ACABADO,N,S,1,2021-05-11,A,0.0,0.0,0.0,0.0,1
C1300,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1301,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-25,A,0.0,0.0,0.0,0.0,0
C1302,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1304,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-29,A,0.0,0.0,0.0,0.0,0
C1306,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1308,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1311,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1312,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1313,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1314,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-09-25,A,0.0,0.0,0.0,0.0,0
C1316,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-29,A,0.0,0.0,0.0,0.0,0
C1317,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1318,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1319,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1320,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1323,TERMISTOR,0007,TERMISTOR,N,N,1,2017-08-10,A,0.0,0.0,0.0,0.0,0
C1324,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2018-05-17,A,0.0,0.0,0.0,0.0,0
C1325,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1327,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1329,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1330,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1331,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-08-03,A,0.0,0.0,0.0,0.0,0
C1332,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1333,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1334,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1335,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1336,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-05-15,A,0.0,0.0,0.0,0.0,0
C1338,TERMISTOR,C014,PRODUTO ACABADO,N,N,1,2017-11-23,A,0.0,0.0,0.0,0.0,0
