COD_FORNE,NOME_FORNE,Group_name,MES,QUANTIDADE,PRECO_TOTAL
12996,GUOCHENG,IACV,2024-06-01,1000,6800
12996,GUOCHENG,IACV,2025-02-01,2000,13600
12996,GUOCHENG,IACV,2025-03-01,2500,17000
12996,GUOCHENG,IACV,2025-05-01,800,5440
12996,GUOCHENG,IACV,2026-01-01,1400,9520
13443,TEMB,VALVULAS VT,2025-02-01,647,4783
13443,TEMB,VALVULAS VT,2025-07-01,300,3150
13443,TEMB,VALVULAS VT,2025-08-01,960,7324
13443,TEMB,VALVULAS VT,2025-09-01,860,6592
13443,TEMB,VALVULAS VT,2025-11-01,990,8169
13443,TEMB,VALVULAS VT,2025-12-01,830,5005
13443,TEMB,VALVULAS VT,2026-01-01,1460,12415
13773,WEILI SENSOR,SENSOR VELOCIDADE DA RODA,2025-05-01,800,2409
13773,WEILI SENSOR,SENSOR VELOCIDADE DA RODA,2025-08-01,700,2406
13773,WEILI SENSOR,SENSOR VELOCIDADE DA RODA,2026-01-01,340,1030
14073,RUIAN MINGJUE,CORPO DE BORBOLETA,2025-09-01,48,816
14073,RUIAN MINGJUE,CORPO DE BORBOLETA,2025-11-01,150,3230
14073,RUIAN MINGJUE,CORPO DE BORBOLETA,2026-01-01,396,8688
2102,FAE,PLUG ELETRONICO,2024-09-01,80,280
2102,FAE,SENSOR ROTACAO,2024-03-01,25,271
2880,TCI GLOBAL CORP,PLUG ELETRONICO,2024-08-01,800,1217
2880,TCI GLOBAL CORP,PLUG ELETRONICO,2024-09-01,1300,2204
2880,TCI GLOBAL CORP,PLUG ELETRONICO,2025-02-01,50,72
2880,TCI GLOBAL CORP,PLUG ELETRONICO,2025-03-01,550,738
2880,TCI GLOBAL CORP,PLUG ELETRONICO,2025-08-01,50,86
2880,TCI GLOBAL CORP,PLUG ELETRONICO,2025-11-01,150,200
2880,TCI GLOBAL CORP,PLUG ELETRONICO,2025-12-01,150,195
2880,TCI GLOBAL CORP,PLUG ELETRONICO,2026-01-01,210,288
2880,TCI GLOBAL CORP,TUBO REFRIGERACAO MT / AL,2024-07-01,900,3879
2880,TCI GLOBAL CORP,TUBO REFRIGERACAO MT / AL,2024-09-01,500,2155
