Supplier,Supplier_Name,Review_Period,Lead_Time,Calculated_Lead_Time
12996,GUOCHENG,35,107,112
13443,TEMB,35,107,124
13773,WEILI SENSOR,35,107,98
14073,RUIAN MINGJUE,35,97,96
2102,FAE,35,43,63
2880,TCI GLOBAL CORP,35,127,129
4863,ZHITESEN,35,107,128
4994,SKK,35,88,98
5024,OSSCA,35,127,136
5355,HOYA,35,112,133
6523,ABORN,35,107,117
6615,AUTOTEC,35,127,163
6783,CADIC,35,127,122
7132,LONGY,35,127,147
7542,HLO-CENWAN,35,107,134
7907,FORIN,35,107,110
7908,FONAN AUTOMOTIVE,35,92,96
7909,FLY AUTO PARTS CO.,35,92,111
7967,WTT WANTAI,35,125,77
8479,KEFENG,35,107,107
8714,BOMETEC,35,107,126
